GlobalID_Qdt,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,eventDate,recordedBy,quadratSize,managementAction,taxonID,vernacularName,stratum,plantHeight,nSeedHeads,eventRemarks,GlobalID_seed,measurementType,measurementValue
8,38.34944154,-121.5006299,SLW,LIC,57,8/7/2020 18:00,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,64,,8_4,f2t_length_mm,7
8,38.34944154,-121.5006299,SLW,LIC,57,8/7/2020 18:00,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,64,,8_5,f2t_length_mm,6
9,38.34822667,-121.5009272,SLW,LIC,57,8/7/2020 18:15,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,78,,9_1,f2t_length_mm,7
9,38.34822667,-121.5009272,SLW,LIC,57,8/7/2020 18:15,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,78,,9_2,f2t_length_mm,7
9,38.34822667,-121.5009272,SLW,LIC,57,8/7/2020 18:15,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,78,,9_3,f2t_length_mm,8
9,38.34822667,-121.5009272,SLW,LIC,57,8/7/2020 18:15,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,78,,9_4,f2t_length_mm,6
9,38.34822667,-121.5009272,SLW,LIC,57,8/7/2020 18:15,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,78,,9_5,f2t_length_mm,11
10,38.34816485,-121.5010105,SLW,LIC,57,8/7/2020 18:17,MK BT,5x5cm,mowed,41605,Swamp Timothy,high,9.5,83,,10_1,f2t_length_mm,22
10,38.34816485,-121.5010105,SLW,LIC,57,8/7/2020 18:17,MK BT,5x5cm,mowed,41605,Swamp Timothy,high,9.5,83,,10_2,f2t_length_mm,14
10,38.34816485,-121.5010105,SLW,LIC,57,8/7/2020 18:17,MK BT,5x5cm,mowed,41605,Swamp Timothy,high,9.5,83,,10_3,f2t_length_mm,4
10,38.34816485,-121.5010105,SLW,LIC,57,8/7/2020 18:17,MK BT,5x5cm,mowed,41605,Swamp Timothy,high,9.5,83,,10_4,f2t_length_mm,20
10,38.34816485,-121.5010105,SLW,LIC,57,8/7/2020 18:17,MK BT,5x5cm,mowed,41605,Swamp Timothy,high,9.5,83,,10_5,f2t_length_mm,5
11,38.34732503,-121.5006991,SLW,LIC,57,8/7/2020 18:29,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,2.5,250,,11_1,f2t_length_mm,6
11,38.34732503,-121.5006991,SLW,LIC,57,8/7/2020 18:29,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,2.5,250,,11_2,f2t_length_mm,7
11,38.34732503,-121.5006991,SLW,LIC,57,8/7/2020 18:29,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,2.5,250,,11_3,f2t_length_mm,6
11,38.34732503,-121.5006991,SLW,LIC,57,8/7/2020 18:29,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,2.5,250,,11_4,f2t_length_mm,7
11,38.34732503,-121.5006991,SLW,LIC,57,8/7/2020 18:29,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,2.5,250,,11_5,f2t_length_mm,7
12,38.34729925,-121.5007362,SLW,LIC,57,8/7/2020 18:35,M. Kolwyck,30x30cm,mowed,41605,Swamp Timothy,medium,3,790,,12_1,f2t_length_mm,7
12,38.34729925,-121.5007362,SLW,LIC,57,8/7/2020 18:35,M. Kolwyck,30x30cm,mowed,41605,Swamp Timothy,medium,3,790,,12_2,f2t_length_mm,9
12,38.34729925,-121.5007362,SLW,LIC,57,8/7/2020 18:35,M. Kolwyck,30x30cm,mowed,41605,Swamp Timothy,medium,3,790,,12_3,f2t_length_mm,8
12,38.34729925,-121.5007362,SLW,LIC,57,8/7/2020 18:35,M. Kolwyck,30x30cm,mowed,41605,Swamp Timothy,medium,3,790,,12_4,f2t_length_mm,8
12,38.34729925,-121.5007362,SLW,LIC,57,8/7/2020 18:35,M. Kolwyck,30x30cm,mowed,41605,Swamp Timothy,medium,3,790,,12_5,f2t_length_mm,8
13,38.41674781,-121.4924372,SLW,Lewis 6,22,8/11/2020 14:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,high,12,76,"No Timothy found in point locations, unit to be disked Aug 2020",13_1,f2t_length_mm,16
13,38.41674781,-121.4924372,SLW,Lewis 6,22,8/11/2020 14:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,high,12,76,"No Timothy found in point locations, unit to be disked Aug 2020",13_2,f2t_length_mm,15
13,38.41674781,-121.4924372,SLW,Lewis 6,22,8/11/2020 14:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,high,12,76,"No Timothy found in point locations, unit to be disked Aug 2020",13_3,f2t_length_mm,22
13,38.41674781,-121.4924372,SLW,Lewis 6,22,8/11/2020 14:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,high,12,76,"No Timothy found in point locations, unit to be disked Aug 2020",13_4,f2t_length_mm,14
13,38.41674781,-121.4924372,SLW,Lewis 6,22,8/11/2020 14:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,high,12,76,"No Timothy found in point locations, unit to be disked Aug 2020",13_5,f2t_length_mm,18
14,38.41672966,-121.4925983,SLW,Lewis 6,22,8/11/2020 14:55,BT,30x30cm,mowed,41605,Swamp Timothy,medium,5,134,,14_1,f2t_length_mm,14
14,38.41672966,-121.4925983,SLW,Lewis 6,22,8/11/2020 14:55,BT,30x30cm,mowed,41605,Swamp Timothy,medium,5,134,,14_2,f2t_length_mm,16
14,38.41672966,-121.4925983,SLW,Lewis 6,22,8/11/2020 14:55,BT,30x30cm,mowed,41605,Swamp Timothy,medium,5,134,,14_3,f2t_length_mm,16
14,38.41672966,-121.4925983,SLW,Lewis 6,22,8/11/2020 14:55,BT,30x30cm,mowed,41605,Swamp Timothy,medium,5,134,,14_4,f2t_length_mm,19
14,38.41672966,-121.4925983,SLW,Lewis 6,22,8/11/2020 14:55,BT,30x30cm,mowed,41605,Swamp Timothy,medium,5,134,,14_5,f2t_length_mm,30
15,38.41677743,-121.4888812,SLW,Lewis 6,22,8/11/2020 15:18,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,2,61,,15_1,f2t_length_mm,9
15,38.41677743,-121.4888812,SLW,Lewis 6,22,8/11/2020 15:18,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,2,61,,15_2,f2t_length_mm,6
15,38.41677743,-121.4888812,SLW,Lewis 6,22,8/11/2020 15:18,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,2,61,,15_3,f2t_length_mm,7
15,38.41677743,-121.4888812,SLW,Lewis 6,22,8/11/2020 15:18,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,2,61,,15_4,f2t_length_mm,5
15,38.41677743,-121.4888812,SLW,Lewis 6,22,8/11/2020 15:18,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,2,61,,15_5,f2t_length_mm,6
16,38.41681302,-121.4888892,SLW,Lewis 6,22,8/11/2020 15:22,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,1.5,42,,16_1,f2t_length_mm,4
16,38.41681302,-121.4888892,SLW,Lewis 6,22,8/11/2020 15:22,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,1.5,42,,16_2,f2t_length_mm,7
16,38.41681302,-121.4888892,SLW,Lewis 6,22,8/11/2020 15:22,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,1.5,42,,16_3,f2t_length_mm,9
16,38.41681302,-121.4888892,SLW,Lewis 6,22,8/11/2020 15:22,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,1.5,42,,16_4,f2t_length_mm,8
16,38.41681302,-121.4888892,SLW,Lewis 6,22,8/11/2020 15:22,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,medium,1.5,42,,16_5,f2t_length_mm,6
17,38.41631894,-121.4956784,SLW,Lewis 1,22,8/11/2020 15:51,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,35,,17_1,f2t_length_mm,7
17,38.41631894,-121.4956784,SLW,Lewis 1,22,8/11/2020 15:51,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,35,,17_2,f2t_length_mm,5
17,38.41631894,-121.4956784,SLW,Lewis 1,22,8/11/2020 15:51,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,35,,17_3,f2t_length_mm,18
17,38.41631894,-121.4956784,SLW,Lewis 1,22,8/11/2020 15:51,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,35,,17_4,f2t_length_mm,7
17,38.41631894,-121.4956784,SLW,Lewis 1,22,8/11/2020 15:51,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,35,,17_5,f2t_length_mm,11
18,38.41632582,-121.4956538,SLW,Lewis 1,22,8/11/2020 16:01,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,3.5,23,,18_1,f2t_length_mm,14
18,38.41632582,-121.4956538,SLW,Lewis 1,22,8/11/2020 16:01,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,3.5,23,,18_2,f2t_length_mm,9
18,38.41632582,-121.4956538,SLW,Lewis 1,22,8/11/2020 16:01,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,3.5,23,,18_3,f2t_length_mm,9
18,38.41632582,-121.4956538,SLW,Lewis 1,22,8/11/2020 16:01,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,3.5,23,,18_4,f2t_length_mm,10
18,38.41632582,-121.4956538,SLW,Lewis 1,22,8/11/2020 16:01,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,3.5,23,,18_5,f2t_length_mm,10
19,38.417098,-121.4957821,SLW,Lewis 1,22,8/11/2020 16:07,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,31,,19_1,f2t_length_mm,14
19,38.417098,-121.4957821,SLW,Lewis 1,22,8/11/2020 16:07,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,31,,19_2,f2t_length_mm,11
19,38.417098,-121.4957821,SLW,Lewis 1,22,8/11/2020 16:07,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,31,,19_3,f2t_length_mm,9
19,38.417098,-121.4957821,SLW,Lewis 1,22,8/11/2020 16:07,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,31,,19_4,f2t_length_mm,10
19,38.417098,-121.4957821,SLW,Lewis 1,22,8/11/2020 16:07,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,5,31,,19_5,f2t_length_mm,10
20,38.41704079,-121.4957094,SLW,Lewis 1,22,8/11/2020 16:27,BT MK,5x5cm,mowed,41605,Swamp Timothy,medium,3.5,31,,20_1,f2t_length_mm,6
20,38.41704079,-121.4957094,SLW,Lewis 1,22,8/11/2020 16:27,BT MK,5x5cm,mowed,41605,Swamp Timothy,medium,3.5,31,,20_2,f2t_length_mm,7
20,38.41704079,-121.4957094,SLW,Lewis 1,22,8/11/2020 16:27,BT MK,5x5cm,mowed,41605,Swamp Timothy,medium,3.5,31,,20_3,f2t_length_mm,8
20,38.41704079,-121.4957094,SLW,Lewis 1,22,8/11/2020 16:27,BT MK,5x5cm,mowed,41605,Swamp Timothy,medium,3.5,31,,20_4,f2t_length_mm,7
20,38.41704079,-121.4957094,SLW,Lewis 1,22,8/11/2020 16:27,BT MK,5x5cm,mowed,41605,Swamp Timothy,medium,3.5,31,,20_5,f2t_length_mm,7
21,38.41810178,-121.4937099,SLW,Lewis 1,22,8/11/2020 17:44,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,105,,21_1,f2t_length_mm,7
21,38.41810178,-121.4937099,SLW,Lewis 1,22,8/11/2020 17:44,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,105,,21_2,f2t_length_mm,8
21,38.41810178,-121.4937099,SLW,Lewis 1,22,8/11/2020 17:44,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,105,,21_3,f2t_length_mm,8
21,38.41810178,-121.4937099,SLW,Lewis 1,22,8/11/2020 17:44,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,105,,21_4,f2t_length_mm,9
21,38.41810178,-121.4937099,SLW,Lewis 1,22,8/11/2020 17:44,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,105,,21_5,f2t_length_mm,7
22,38.41810458,-121.4937674,SLW,Lewis 1,22,8/11/2020 17:49,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,83,,22_1,f2t_length_mm,9
22,38.41810458,-121.4937674,SLW,Lewis 1,22,8/11/2020 17:49,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,83,,22_2,f2t_length_mm,9
22,38.41810458,-121.4937674,SLW,Lewis 1,22,8/11/2020 17:49,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,83,,22_3,f2t_length_mm,8
22,38.41810458,-121.4937674,SLW,Lewis 1,22,8/11/2020 17:49,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,83,,22_4,f2t_length_mm,10
22,38.41810458,-121.4937674,SLW,Lewis 1,22,8/11/2020 17:49,BT MK,15x15cm,none,41605,Swamp Timothy,low,1.5,83,,22_5,f2t_length_mm,9
23,38.42106088,-121.4921698,SLW,Lewis 1,22,8/11/2020 17:56,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,10,41,,23_1,f2t_length_mm,14
23,38.42106088,-121.4921698,SLW,Lewis 1,22,8/11/2020 17:56,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,10,41,,23_2,f2t_length_mm,8
23,38.42106088,-121.4921698,SLW,Lewis 1,22,8/11/2020 17:56,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,10,41,,23_3,f2t_length_mm,11
23,38.42106088,-121.4921698,SLW,Lewis 1,22,8/11/2020 17:56,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,10,41,,23_4,f2t_length_mm,11
23,38.42106088,-121.4921698,SLW,Lewis 1,22,8/11/2020 17:56,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,10,41,,23_5,f2t_length_mm,13
24,38.42102781,-121.4921392,SLW,Lewis 1,22,8/11/2020 18:00,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,,117,,24_1,f2t_length_mm,9
24,38.42102781,-121.4921392,SLW,Lewis 1,22,8/11/2020 18:00,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,,117,,24_2,f2t_length_mm,13
24,38.42102781,-121.4921392,SLW,Lewis 1,22,8/11/2020 18:00,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,,117,,24_3,f2t_length_mm,10
24,38.42102781,-121.4921392,SLW,Lewis 1,22,8/11/2020 18:00,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,,117,,24_4,f2t_length_mm,12
24,38.42102781,-121.4921392,SLW,Lewis 1,22,8/11/2020 18:00,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,,117,,24_5,f2t_length_mm,10
25,38.43141148,-121.4972054,SLW,Beach Lake 3,,8/12/2020 18:50,MK,15x15cm,mowed,41605,Swamp Timothy,medium,6.5,60,,25_1,f2t_length_mm,10
25,38.43141148,-121.4972054,SLW,Beach Lake 3,,8/12/2020 18:50,MK,15x15cm,mowed,41605,Swamp Timothy,medium,6.5,60,,25_2,f2t_length_mm,10
25,38.43141148,-121.4972054,SLW,Beach Lake 3,,8/12/2020 18:50,MK,15x15cm,mowed,41605,Swamp Timothy,medium,6.5,60,,25_3,f2t_length_mm,9
25,38.43141148,-121.4972054,SLW,Beach Lake 3,,8/12/2020 18:50,MK,15x15cm,mowed,41605,Swamp Timothy,medium,6.5,60,,25_4,f2t_length_mm,10
25,38.43141148,-121.4972054,SLW,Beach Lake 3,,8/12/2020 18:50,MK,15x15cm,mowed,41605,Swamp Timothy,medium,6.5,60,,25_5,f2t_length_mm,9
26,38.43162732,-121.4961259,SLW,Beach Lake 3,,8/12/2020 18:58,MK,15x15cm,mowed,41605,Swamp Timothy,low,2.700000048,66,,26_1,f2t_length_mm,11
26,38.43162732,-121.4961259,SLW,Beach Lake 3,,8/12/2020 18:58,MK,15x15cm,mowed,41605,Swamp Timothy,low,2.700000048,66,,26_2,f2t_length_mm,11
26,38.43162732,-121.4961259,SLW,Beach Lake 3,,8/12/2020 18:58,MK,15x15cm,mowed,41605,Swamp Timothy,low,2.700000048,66,,26_3,f2t_length_mm,9
26,38.43162732,-121.4961259,SLW,Beach Lake 3,,8/12/2020 18:58,MK,15x15cm,mowed,41605,Swamp Timothy,low,2.700000048,66,,26_4,f2t_length_mm,8
26,38.43162732,-121.4961259,SLW,Beach Lake 3,,8/12/2020 18:58,MK,15x15cm,mowed,41605,Swamp Timothy,low,2.700000048,66,,26_5,f2t_length_mm,10
27,38.4316533,-121.4961547,SLW,Beach Lake 3,,8/12/2020 19:02,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,20,,27_1,f2t_length_mm,9
27,38.4316533,-121.4961547,SLW,Beach Lake 3,,8/12/2020 19:02,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,20,,27_2,f2t_length_mm,6
27,38.4316533,-121.4961547,SLW,Beach Lake 3,,8/12/2020 19:02,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,20,,27_3,f2t_length_mm,7
27,38.4316533,-121.4961547,SLW,Beach Lake 3,,8/12/2020 19:02,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,20,,27_4,f2t_length_mm,9
27,38.4316533,-121.4961547,SLW,Beach Lake 3,,8/12/2020 19:02,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,20,,27_5,f2t_length_mm,7
28,38.43144539,-121.4951431,SLW,Beach Lake 3,,8/12/2020 19:14,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4.5,70,,28_1,f2t_length_mm,8
28,38.43144539,-121.4951431,SLW,Beach Lake 3,,8/12/2020 19:14,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4.5,70,,28_2,f2t_length_mm,8
28,38.43144539,-121.4951431,SLW,Beach Lake 3,,8/12/2020 19:14,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4.5,70,,28_3,f2t_length_mm,6
28,38.43144539,-121.4951431,SLW,Beach Lake 3,,8/12/2020 19:14,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4.5,70,,28_4,f2t_length_mm,9
28,38.43144539,-121.4951431,SLW,Beach Lake 3,,8/12/2020 19:14,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4.5,70,,28_5,f2t_length_mm,10
29,38.43129133,-121.495104,SLW,Beach Lake 3,,8/12/2020 19:18,Mk,15x15cm,mowed,41605,Swamp Timothy,medium,6,40,,29_1,f2t_length_mm,14
29,38.43129133,-121.495104,SLW,Beach Lake 3,,8/12/2020 19:18,Mk,15x15cm,mowed,41605,Swamp Timothy,medium,6,40,,29_2,f2t_length_mm,13
29,38.43129133,-121.495104,SLW,Beach Lake 3,,8/12/2020 19:18,Mk,15x15cm,mowed,41605,Swamp Timothy,medium,6,40,,29_3,f2t_length_mm,13
29,38.43129133,-121.495104,SLW,Beach Lake 3,,8/12/2020 19:18,Mk,15x15cm,mowed,41605,Swamp Timothy,medium,6,40,,29_4,f2t_length_mm,13
29,38.43129133,-121.495104,SLW,Beach Lake 3,,8/12/2020 19:18,Mk,15x15cm,mowed,41605,Swamp Timothy,medium,6,40,,29_5,f2t_length_mm,12
30,38.4316924,-121.4940819,SLW,Beach Lake 3,,8/12/2020 19:28,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4,63,,30_1,f2t_length_mm,10
30,38.4316924,-121.4940819,SLW,Beach Lake 3,,8/12/2020 19:28,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4,63,,30_2,f2t_length_mm,9
30,38.4316924,-121.4940819,SLW,Beach Lake 3,,8/12/2020 19:28,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4,63,,30_3,f2t_length_mm,9
30,38.4316924,-121.4940819,SLW,Beach Lake 3,,8/12/2020 19:28,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4,63,,30_4,f2t_length_mm,9
30,38.4316924,-121.4940819,SLW,Beach Lake 3,,8/12/2020 19:28,Mk,5x5cm,mowed,41605,Swamp Timothy,high,4,63,,30_5,f2t_length_mm,2
31,38.43176637,-121.4926744,SLW,Beach Lake 3,,8/12/2020 19:36,Mk,30x30cm,mowed,,,,0,0,,31_1,f2t_length_mm,0
31,38.43176637,-121.4926744,SLW,Beach Lake 3,,8/12/2020 19:36,Mk,30x30cm,mowed,,,,0,0,,31_2,f2t_length_mm,0
31,38.43176637,-121.4926744,SLW,Beach Lake 3,,8/12/2020 19:36,Mk,30x30cm,mowed,,,,0,0,,31_3,f2t_length_mm,0
31,38.43176637,-121.4926744,SLW,Beach Lake 3,,8/12/2020 19:36,Mk,30x30cm,mowed,,,,0,0,,31_4,f2t_length_mm,0
