GlobalID_CP,decimalLongitude,decimalLatitude,LIT,unitName,subunitName,recordedBy,eventDate,plotStatus,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
59,-119.3871779,35.91063003,PIX,8A,,MJ,9/2/2020 17:21,Complete,,41605,Swamp Timothy,medium,0.75
61,-119.3931139,35.91161966,PIX,7A,,GG,9/4/2020 15:15,Complete,,41605,Swamp Timothy,low,0.1
61,-119.3931139,35.91161966,PIX,7A,,GG,9/4/2020 15:15,Complete,,41605,Swamp Timothy,high,0.9
63,-119.3888001,35.91148984,PIX,8A,,MJ,9/2/2020 17:07,Complete,,41605,Swamp Timothy,medium,0.85
64,-119.4017293,35.9121488,PIX,6,,GG,9/4/2020 16:49,Complete,,41605,Swamp Timothy,medium,0.15
64,-119.4017293,35.9121488,PIX,6,,GG,9/4/2020 16:49,Complete,,41605,Swamp Timothy,high,0.25
64,-119.4017293,35.9121488,PIX,6,,GG,9/4/2020 16:49,Complete,,41605,Swamp Timothy,low,0.6
67,-119.382815,35.91157977,PIX,9A,,MJ,8/26/2020 16:19,Complete,,41605,Swamp Timothy,high,1
69,-119.3854573,35.91192975,PIX,9A,,MJ,8/26/2020 16:44,Complete,,41605,Swamp Timothy,medium,0.9
71,-119.3910861,35.9123696,PIX,8A,,MJ,9/2/2020 16:56,Complete,,41605,Swamp Timothy,high,0.9
72,-119.392733,35.91268946,PIX,7A,,GG,9/3/2020 18:29,Complete,,41605,Swamp Timothy,medium,0.1
72,-119.392733,35.91268946,PIX,7A,,GG,9/3/2020 18:29,Complete,,41605,Swamp Timothy,high,0.9
75,-119.3834294,35.91267955,PIX,9A,,MJ,8/26/2020 16:29,Complete,,502210,Watergrass,high,0.05
75,-119.3834294,35.91267955,PIX,9A,,MJ,8/26/2020 16:29,Complete,,41605,Swamp Timothy,high,0.8
75,-119.3834294,35.91267955,PIX,9A,,MJ,8/26/2020 16:29,Complete,,NA,Other cover,NA,0.95
76,-119.3983252,35.91393881,PIX,1,,GG,9/4/2020 18:30,Complete,,41605,Swamp Timothy,low,0.025
77,-119.3960023,35.91386902,PIX,2A,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.05
77,-119.3960023,35.91386902,PIX,2A,,,01/00/1900 00:00,Complete,,502210,Watergrass,low,0.05
77,-119.3960023,35.91386902,PIX,2A,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.95
79,-119.3903488,35.91396929,PIX,3,,MJ,9/1/2020 16:56,Complete,,41605,Swamp Timothy,medium,0.9
83,-119.3863421,35.91438924,PIX,4A,,MJ,8/27/2020 15:35,Complete,,NA,Other cover,NA,0.55
83,-119.3863421,35.91438924,PIX,4A,,MJ,8/27/2020 15:35,Complete,,41605,Swamp Timothy,medium,0.9
86,-119.3989276,35.91530847,PIX,2A,,,01/00/1900 00:00,Complete,,NA,Other cover,NA,0.05
86,-119.3989276,35.91530847,PIX,2A,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.15
86,-119.3989276,35.91530847,PIX,2A,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.3
87,-119.3952773,35.9151988,PIX,2,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.1
87,-119.3952773,35.9151988,PIX,2,,,01/00/1900 00:00,Complete,,502210,Watergrass,low,0.15
87,-119.3952773,35.9151988,PIX,2,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,medium,0.15
87,-119.3952773,35.9151988,PIX,2,,,01/00/1900 00:00,Complete,,NA,Other cover,NA,0.2
87,-119.3952773,35.9151988,PIX,2,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.7
88,-119.4068798,35.91581733,PIX,1,,GG,9/4/2020 18:46,Complete,,41605,Swamp Timothy,high,0.15
88,-119.4068798,35.91581733,PIX,1,,GG,9/4/2020 18:46,Complete,,41605,Swamp Timothy,medium,0.3
88,-119.4068798,35.91581733,PIX,1,,GG,9/4/2020 18:46,Complete,,41605,Swamp Timothy,low,0.35
89,-119.3929421,35.91539889,PIX,3,,MJ,9/2/2020 16:33,Complete,,502210,Watergrass,low,0.025
89,-119.3929421,35.91539889,PIX,3,,MJ,9/2/2020 16:33,Complete,,41605,Swamp Timothy,high,1
91,-119.3905824,35.91613883,PIX,3,,MJ,9/1/2020 17:05,Complete,,502210,Watergrass,high,0.05
91,-119.3905824,35.91613883,PIX,3,,MJ,9/1/2020 17:05,Complete,,41605,Swamp Timothy,medium,0.75
94,-119.3855924,35.91625883,PIX,4,,MJ,8/24/2020 16:00,Complete,,502210,Watergrass,medium,0.05
94,-119.3855924,35.91625883,PIX,4,,MJ,8/24/2020 16:00,Complete,,41605,Swamp Timothy,high,0.95
100,-119.3845476,35.91730859,PIX,4,,MJ,8/24/2020 16:17,Complete,,502210,Watergrass,low,0.01
100,-119.3845476,35.91730859,PIX,4,,MJ,8/24/2020 16:17,Complete,,41605,Swamp Timothy,medium,0.9
101,-119.4011281,35.91807768,PIX,2A,,GG,9/4/2020 17:57,Complete,,41605,Swamp Timothy,medium,0.05
101,-119.4011281,35.91807768,PIX,2A,,GG,9/4/2020 17:57,Complete,,NA,Other cover,NA,0.2
101,-119.4011281,35.91807768,PIX,2A,,GG,9/4/2020 17:57,Complete,,41605,Swamp Timothy,high,0.95
102,-119.3988051,35.91800794,PIX,2,,GG,9/4/2020 17:25,Complete,,41605,Swamp Timothy,low,0.1
102,-119.3988051,35.91800794,PIX,2,,GG,9/4/2020 17:25,Complete,,41605,Swamp Timothy,high,0.7
104,-119.3921557,35.91807837,PIX,3A,,MJ,8/31/2020 15:52,Complete,,502210,Watergrass,low,0.1
104,-119.3921557,35.91807837,PIX,3A,,MJ,8/31/2020 15:52,Complete,,41605,Swamp Timothy,high,0.95
105,-119.3865142,35.9179085,PIX,4A,,MJ,8/27/2020 15:22,Complete,,502210,Watergrass,low,0.01
105,-119.3865142,35.9179085,PIX,4A,,MJ,8/27/2020 15:22,Complete,,NA,Other cover,NA,0.2
105,-119.3865142,35.9179085,PIX,4A,,MJ,8/27/2020 15:22,Complete,,41605,Swamp Timothy,high,0.9
109,-119.4096955,35.91968608,PIX,1,,GG,9/4/2020 19:03,Complete,,41605,Swamp Timothy,medium,0.1
109,-119.4096955,35.91968608,PIX,1,,GG,9/4/2020 19:03,Complete,,41605,Swamp Timothy,low,0.25
109,-119.4096955,35.91968608,PIX,1,,GG,9/4/2020 19:03,Complete,,41605,Swamp Timothy,high,0.45
112,-119.3964086,35.91955782,PIX,3A,,MJ,8/31/2020 16:07,Complete,,41605,Swamp Timothy,low,0.025
112,-119.3964086,35.91955782,PIX,3A,,MJ,8/31/2020 16:07,Complete,,502210,Watergrass,low,0.025
112,-119.3964086,35.91955782,PIX,3A,,MJ,8/31/2020 16:07,Complete,,41605,Swamp Timothy,high,0.95
113,-119.3910865,35.91966808,PIX,3A,,MJ,8/31/2020 15:40,Complete,,NA,Other cover,NA,0.7
113,-119.3910865,35.91966808,PIX,3A,,MJ,8/31/2020 15:40,Complete,,41605,Swamp Timothy,high,1
114,-119.399039,35.92017747,PIX,2,,GG,9/4/2020 17:42,Complete,,41605,Swamp Timothy,low,0.05
114,-119.399039,35.92017747,PIX,2,,GG,9/4/2020 17:42,Complete,,41605,Swamp Timothy,high,0.25
116,-119.3884193,35.91985808,PIX,4A,,MJ,8/27/2020 14:57,Complete,,41605,Swamp Timothy,medium,0.1
116,-119.3884193,35.91985808,PIX,4A,,MJ,8/27/2020 14:57,Complete,,41605,Swamp Timothy,low,0.15
116,-119.3884193,35.91985808,PIX,4A,,MJ,8/27/2020 14:57,Complete,,502210,Watergrass,medium,0.15
116,-119.3884193,35.91985808,PIX,4A,,MJ,8/27/2020 14:57,Complete,,41605,Swamp Timothy,high,0.4
117,-119.3857644,35.91977809,PIX,4,,MJ,8/24/2020 16:29,Complete,,502210,Watergrass,low,0.01
117,-119.3857644,35.91977809,PIX,4,,MJ,8/24/2020 16:29,Complete,,41605,Swamp Timothy,high,1
120,-119.618293,35.71894241,KRN,4B,4B-2,GG,8/13/2020 18:25,Complete,,41605,Swamp Timothy,low,0.2
120,-119.618293,35.71894241,KRN,4B,4B-2,GG,8/13/2020 18:25,Complete,,NA,Other cover,NA,0.5
120,-119.618293,35.71894241,KRN,4B,4B-2,GG,8/13/2020 18:25,Complete,,41605,Swamp Timothy,medium,0.8
124,-119.6245499,35.71992929,KRN,4B,4B-1,GG,8/13/2020 17:08,Complete,,41605,Swamp Timothy,low,0.15
124,-119.6245499,35.71992929,KRN,4B,4B-1,GG,8/13/2020 17:08,Complete,,41605,Swamp Timothy,medium,0.15
124,-119.6245499,35.71992929,KRN,4B,4B-1,GG,8/13/2020 17:08,Complete,,41605,Swamp Timothy,high,0.2
128,-119.6188981,35.72031113,KRN,4B,4B-2,GG,8/13/2020 18:16,Complete,,41605,Swamp Timothy,high,0.05
128,-119.6188981,35.72031113,KRN,4B,4B-2,GG,8/13/2020 18:16,Complete,,41605,Swamp Timothy,low,0.05
128,-119.6188981,35.72031113,KRN,4B,4B-2,GG,8/13/2020 18:16,Complete,,NA,Other cover,NA,0.5
129,-119.6215356,35.72065563,KRN,4B,4B-1,G.Grisdale,8/13/2020 14:12,Complete,,41605,Swamp Timothy,low,0.1
129,-119.6215356,35.72065563,KRN,4B,4B-1,G.Grisdale,8/13/2020 14:12,Complete,,41605,Swamp Timothy,medium,0.15
129,-119.6215356,35.72065563,KRN,4B,4B-1,G.Grisdale,8/13/2020 14:12,Complete,,41605,Swamp Timothy,high,0.25
129,-119.6215356,35.72065563,KRN,4B,4B-1,G.Grisdale,8/13/2020 14:12,Complete,,NA,Other cover,NA,0.7
133,-119.6237964,35.72207085,KRN,4B,4B-1,GG,8/13/2020 16:11,Complete,Mowed 100%,41605,Swamp Timothy,low,0.05
133,-119.6237964,35.72207085,KRN,4B,4B-1,GG,8/13/2020 16:11,Complete,Mowed 100%,41605,Swamp Timothy,high,0.25
135,-119.6175051,35.72189398,KRN,4B,4B-2,GG,8/13/2020 18:43,Complete,,41605,Swamp Timothy,medium,0.05
135,-119.6175051,35.72189398,KRN,4B,4B-2,GG,8/13/2020 18:43,Complete,,41605,Swamp Timothy,low,0.1
135,-119.6175051,35.72189398,KRN,4B,4B-2,GG,8/13/2020 18:43,Complete,,NA,Other cover,NA,0.15
140,-119.6204281,35.7233279,KRN,4A,4A-5,GG,8/24/2020 16:49,Complete,,NA,Other cover,NA,0.2
140,-119.6204281,35.7233279,KRN,4A,4A-5,GG,8/24/2020 16:49,Complete,,41605,Swamp Timothy,high,0.85
144,-119.6183842,35.72462211,KRN,4A,4A-5,GG,8/24/2020 17:07,Complete,,41605,Swamp Timothy,low,0.2
144,-119.6183842,35.72462211,KRN,4A,4A-5,GG,8/24/2020 17:07,Complete,,41605,Swamp Timothy,high,0.6
145,-119.6206907,35.72495732,KRN,4A,4A-2,GG,8/24/2020 17:50,Complete,,41605,Swamp Timothy,medium,0.05
145,-119.6206907,35.72495732,KRN,4A,4A-2,GG,8/24/2020 17:50,Complete,,41605,Swamp Timothy,high,0.95
146,-119.616386,35.72483622,KRN,4A,4A-5,GG,8/24/2020 17:26,Complete,,NA,Other cover,NA,0.15
146,-119.616386,35.72483622,KRN,4A,4A-5,GG,8/24/2020 17:26,Complete,,41605,Swamp Timothy,high,1
156,-119.6206337,35.72630742,KRN,4A,4A-2,GG,8/24/2020 18:04,Complete,,NA,Other cover,NA,0.05
156,-119.6206337,35.72630742,KRN,4A,4A-2,GG,8/24/2020 18:04,Complete,,41605,Swamp Timothy,low,0.4
156,-119.6206337,35.72630742,KRN,4A,4A-2,GG,8/24/2020 18:04,Complete,,41605,Swamp Timothy,high,0.45
161,-119.6219354,35.72688469,KRN,4A,4A-2,GG,8/24/2020 18:27,Complete,,41605,Swamp Timothy,low,0.1
161,-119.6219354,35.72688469,KRN,4A,4A-2,GG,8/24/2020 18:27,Complete,,NA,Other cover,NA,0.2
161,-119.6219354,35.72688469,KRN,4A,4A-2,GG,8/24/2020 18:27,Complete,,41605,Swamp Timothy,high,0.85
164,-119.6235683,35.72747125,KRN,4A,4A-1,GG,8/25/2020 17:09,Complete,,41605,Swamp Timothy,high,0.4
164,-119.6235683,35.72747125,KRN,4A,4A-1,GG,8/25/2020 17:09,Complete,,41605,Swamp Timothy,low,0.4
164,-119.6235683,35.72747125,KRN,4A,4A-1,GG,8/25/2020 17:09,Complete,,NA,Other cover,NA,0.65
175,-119.6112473,35.72874653,KRN,4A,4A-6,GG,8/24/2020 21:19,Complete,,41605,Swamp Timothy,low,0.05
175,-119.6112473,35.72874653,KRN,4A,4A-6,GG,8/24/2020 21:19,Complete,,41605,Swamp Timothy,high,0.3
175,-119.6112473,35.72874653,KRN,4A,4A-6,GG,8/24/2020 21:19,Complete,,NA,Other cover,NA,0.95
178,-119.6135424,35.7293519,KRN,4A,4A-6,GG,8/24/2020 22:08,Complete,,41605,Swamp Timothy,low,0.05
178,-119.6135424,35.7293519,KRN,4A,4A-6,GG,8/24/2020 22:08,Complete,,NA,Other cover,NA,0.05
182,-119.6088834,35.72976122,KRN,4A,4A-6,GG,8/24/2020 20:56,Complete,,41605,Swamp Timothy,high,0.15
182,-119.6088834,35.72976122,KRN,4A,4A-6,GG,8/24/2020 20:56,Complete,,41605,Swamp Timothy,low,0.8
185,-119.621787,35.73039494,KRN,4A,4A-1,GG,8/25/2020 16:57,Complete,,NA,Other cover,NA,0.05
185,-119.621787,35.73039494,KRN,4A,4A-1,GG,8/25/2020 16:57,Complete,,41605,Swamp Timothy,low,0.3
185,-119.621787,35.73039494,KRN,4A,4A-1,GG,8/25/2020 16:57,Complete,,41605,Swamp Timothy,high,0.7
190,-119.6164542,35.73105594,KRN,4A,4A-3,GG,8/25/2020 15:12,Complete,,NA,Other cover,NA,0.1
190,-119.6164542,35.73105594,KRN,4A,4A-3,GG,8/25/2020 15:12,Complete,,41605,Swamp Timothy,high,0.95
194,-119.6174248,35.73162394,KRN,4A,4A-3,GG,8/24/2020 22:33,Complete,,NA,Other cover,NA,0.25
194,-119.6174248,35.73162394,KRN,4A,4A-3,GG,8/24/2020 22:33,Complete,,41605,Swamp Timothy,high,0.9
195,-119.6213873,35.73200574,KRN,4A,4A-1,GG,8/25/2020 16:45,Complete,,41605,Swamp Timothy,medium,0.2
195,-119.6213873,35.73200574,KRN,4A,4A-1,GG,8/25/2020 16:45,Complete,,41605,Swamp Timothy,low,0.55
196,-119.6147641,35.73181937,KRN,4A,4A-3,GG,8/25/2020 14:57,Complete,,NA,Other cover,NA,0.05
196,-119.6147641,35.73181937,KRN,4A,4A-3,GG,8/25/2020 14:57,Complete,,41605,Swamp Timothy,high,1
202,-119.6124116,35.7325641,KRN,5A,5A-7,GG,8/27/2020 17:05,Complete,,41605,Swamp Timothy,high,0.4
202,-119.6124116,35.7325641,KRN,5A,5A-7,GG,8/27/2020 17:05,Complete,,41605,Swamp Timothy,low,0.55
206,-119.6203253,35.73359792,KRN,5A,5A-4,GG,8/25/2020 17:49,Complete,,NA,Other cover,NA,0.05
206,-119.6203253,35.73359792,KRN,5A,5A-4,GG,8/25/2020 17:49,Complete,,41605,Swamp Timothy,low,0.15
206,-119.6203253,35.73359792,KRN,5A,5A-4,GG,8/25/2020 17:49,Complete,,41605,Swamp Timothy,medium,0.85
212,-119.6186352,35.7343614,KRN,5A,5A-4,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,medium,0.25
212,-119.6186352,35.7343614,KRN,5A,5A-4,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.3
212,-119.6186352,35.7343614,KRN,5A,5A-4,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.4
221,-119.6136218,35.7353016,KRN,5A,5A-7,GG,8/27/2020 16:35,Complete,,41605,Swamp Timothy,medium,0.15
221,-119.6136218,35.7353016,KRN,5A,5A-7,GG,8/27/2020 16:35,Complete,,41605,Swamp Timothy,high,0.2
221,-119.6136218,35.7353016,KRN,5A,5A-7,GG,8/27/2020 16:35,Complete,,NA,Other cover,NA,0.3
221,-119.6136218,35.7353016,KRN,5A,5A-7,GG,8/27/2020 16:35,Complete,,41605,Swamp Timothy,low,0.65
222,-119.6195716,35.73573944,KRN,5A,5A-4,GG,8/25/2020 18:23,Complete,,41605,Swamp Timothy,high,0.2
222,-119.6195716,35.73573944,KRN,5A,5A-4,GG,8/25/2020 18:23,Complete,,41605,Swamp Timothy,medium,0.2
222,-119.6195716,35.73573944,KRN,5A,5A-4,GG,8/25/2020 18:23,Complete,,NA,Other cover,NA,0.2
222,-119.6195716,35.73573944,KRN,5A,5A-4,GG,8/25/2020 18:23,Complete,,41605,Swamp Timothy,low,0.3
225,-119.6212161,35.73605602,KRN,5A,5A-1,GG,8/27/2020 17:28,Complete,,NA,Other cover,NA,0.05
225,-119.6212161,35.73605602,KRN,5A,5A-1,GG,8/27/2020 17:28,Complete,,41605,Swamp Timothy,low,0.1
225,-119.6212161,35.73605602,KRN,5A,5A-1,GG,8/27/2020 17:28,Complete,,41605,Swamp Timothy,high,0.7
226,-119.6109495,35.73576695,KRN,5A,5A-7,GG,8/27/2020 16:55,Complete,,502210,Watergrass,medium,0.15
226,-119.6109495,35.73576695,KRN,5A,5A-7,GG,8/27/2020 16:55,Complete,,NA,Other cover,NA,0.2
226,-119.6109495,35.73576695,KRN,5A,5A-7,GG,8/27/2020 16:55,Complete,,502210,Watergrass,high,0.8
229,-119.6162141,35.73672631,KRN,5A,5A-3,GG,8/27/2020 18:25,Complete,,41605,Swamp Timothy,low,0.2
229,-119.6162141,35.73672631,KRN,5A,5A-3,GG,8/27/2020 18:25,Complete,,41605,Swamp Timothy,medium,0.3
229,-119.6162141,35.73672631,KRN,5A,5A-3,GG,8/27/2020 18:25,Complete,,41605,Swamp Timothy,high,0.4
232,-119.6188521,35.7370709,KRN,5A,5A-3,GG,8/27/2020 18:09,Complete,,41605,Swamp Timothy,medium,0.2
232,-119.6188521,35.7370709,KRN,5A,5A-3,GG,8/27/2020 18:09,Complete,,41605,Swamp Timothy,low,0.8
238,-119.617139,35.73837439,KRN,5A,5A-3,GG,8/31/2020 15:07,Complete,,NA,Other cover,NA,0.1
238,-119.617139,35.73837439,KRN,5A,5A-3,GG,8/31/2020 15:07,Complete,,41605,Swamp Timothy,low,0.15
238,-119.617139,35.73837439,KRN,5A,5A-3,GG,8/31/2020 15:07,Complete,,41605,Swamp Timothy,high,0.85
239,-119.621433,35.73876552,KRN,5A,5A-1,GG,8/27/2020 17:41,Complete,,41605,Swamp Timothy,medium,0.25
239,-119.621433,35.73876552,KRN,5A,5A-1,GG,8/27/2020 17:41,Complete,,41605,Swamp Timothy,high,0.65
245,-119.6108006,35.73927715,KRN,5B,5B-7,GG,8/31/2020 16:06,Complete,,41605,Swamp Timothy,medium,0.35
245,-119.6108006,35.73927715,KRN,5B,5B-7,GG,8/31/2020 16:06,Complete,,NA,Other cover,NA,0.5
245,-119.6108006,35.73927715,KRN,5B,5B-7,GG,8/31/2020 16:06,Complete,,41605,Swamp Timothy,high,0.65
246,-119.6194002,35.73978971,KRN,5A,5A-1,GG,8/27/2020 17:53,Complete,,41605,Swamp Timothy,high,0.25
246,-119.6194002,35.73978971,KRN,5A,5A-1,GG,8/27/2020 17:53,Complete,,41605,Swamp Timothy,medium,0.25
246,-119.6194002,35.73978971,KRN,5A,5A-1,GG,8/27/2020 17:53,Complete,,NA,Other cover,NA,0.95
258,-119.6206793,35.74090704,KRN,5B,5B-2,GG,8/31/2020 18:19,Complete,,41605,Swamp Timothy,low,0.05
261,-119.6113828,35.74118594,KRN,5B,5B-7,GG,8/31/2020 16:11,Complete,,41605,Swamp Timothy,medium,0.15
261,-119.6113828,35.74118594,KRN,5B,5B-7,GG,8/31/2020 16:11,Complete,,NA,Other cover,NA,0.2
261,-119.6113828,35.74118594,KRN,5B,5B-7,GG,8/31/2020 16:11,Complete,,41605,Swamp Timothy,high,0.85
264,-119.6216272,35.74201506,KRN,5B,5B-2,GG,8/31/2020 18:34,Complete,,41605,Swamp Timothy,medium,0.1
264,-119.6216272,35.74201506,KRN,5B,5B-2,GG,8/31/2020 18:34,Complete,,NA,Other cover,NA,0.3
264,-119.6216272,35.74201506,KRN,5B,5B-2,GG,8/31/2020 18:34,Complete,,41605,Swamp Timothy,high,0.7
265,-119.6136783,35.74179133,KRN,5B,5B-5,GG,8/31/2020 16:45,Complete,,41605,Swamp Timothy,high,0.1
265,-119.6136783,35.74179133,KRN,5B,5B-5,GG,8/31/2020 16:45,Complete,,41605,Swamp Timothy,medium,0.1
265,-119.6136783,35.74179133,KRN,5B,5B-5,GG,8/31/2020 16:45,Complete,,41605,Swamp Timothy,low,0.5
265,-119.6136783,35.74179133,KRN,5B,5B-5,GG,8/31/2020 16:45,Complete,,NA,Other cover,NA,0.95
271,-119.6186121,35.74274127,KRN,5B,5B-3,GG,8/31/2020 18:05,Complete,,41605,Swamp Timothy,low,0.025
273,-119.6103204,35.74277801,KRN,5B,5B-7,GG,8/31/2020 16:23,Complete,,41605,Swamp Timothy,low,0.2
273,-119.6103204,35.74277801,KRN,5B,5B-7,GG,8/31/2020 16:23,Complete,,41605,Swamp Timothy,high,0.8
273,-119.6103204,35.74277801,KRN,5B,5B-7,GG,8/31/2020 16:23,Complete,,NA,Other cover,NA,0.95
274,-119.619914,35.74331858,KRN,5B,5B-2,GG,8/31/2020 18:42,Complete,,41605,Swamp Timothy,low,0.025
274,-119.619914,35.74331858,KRN,5B,5B-2,GG,8/31/2020 18:42,Complete,,NA,Other cover,NA,0.75
276,-119.6215472,35.74390518,KRN,5B,5B-1,GG,9/1/2020 14:53,Complete,,41605,Swamp Timothy,low,0.25
276,-119.6215472,35.74390518,KRN,5B,5B-1,GG,9/1/2020 14:53,Complete,,NA,Other cover,NA,0.75
280,-119.6168988,35.74404475,KRN,5B,5B-3,GG,8/31/2020 17:49,Complete,,41605,Swamp Timothy,low,0.05
280,-119.6168988,35.74404475,KRN,5B,5B-3,GG,8/31/2020 17:49,Complete,,41605,Swamp Timothy,high,0.2
280,-119.6168988,35.74404475,KRN,5B,5B-3,GG,8/31/2020 17:49,Complete,,NA,Other cover,NA,0.8
281,-119.6139179,35.74396079,KRN,5B,5B-5,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,medium,0.05
281,-119.6139179,35.74396079,KRN,5B,5B-5,,01/00/1900 00:00,Complete,,NA,Other cover,NA,0.1
281,-119.6139179,35.74396079,KRN,5B,5B-5,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.15
289,-119.6102517,35.74439811,KRN,5B,5B-6,GG,9/1/2020 15:54,Complete,,41605,Swamp Timothy,high,0.25
289,-119.6102517,35.74439811,KRN,5B,5B-6,GG,9/1/2020 15:54,Complete,,41605,Swamp Timothy,low,0.65
290,-119.6198455,35.74493869,KRN,5B,5B-1,GG,9/1/2020 15:26,Complete,,NA,Other cover,NA,0.05
290,-119.6198455,35.74493869,KRN,5B,5B-1,GG,9/1/2020 15:26,Complete,,41605,Swamp Timothy,medium,0.2
290,-119.6198455,35.74493869,KRN,5B,5B-1,GG,9/1/2020 15:26,Complete,,41605,Swamp Timothy,high,0.8
293,-119.6175041,35.74541348,KRN,5B,5B-3,GG,8/31/2020 17:36,Complete,,41605,Swamp Timothy,medium,0.15
293,-119.6175041,35.74541348,KRN,5B,5B-3,GG,8/31/2020 17:36,Complete,,NA,Other cover,NA,0.4
293,-119.6175041,35.74541348,KRN,5B,5B-3,GG,8/31/2020 17:36,Complete,,41605,Swamp Timothy,high,0.8
296,-119.6214673,35.74579531,KRN,5B,5B-1,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,medium,0.05
296,-119.6214673,35.74579531,KRN,5B,5B-1,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.1
296,-119.6214673,35.74579531,KRN,5B,5B-1,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.45
296,-119.6214673,35.74579531,KRN,5B,5B-1,,01/00/1900 00:00,Complete,,NA,Other cover,NA,0.85
304,-119.6138149,35.74639094,KRN,5B,5B-5,GG,8/31/2020 17:09,Complete,,41605,Swamp Timothy,medium,0.05
304,-119.6138149,35.74639094,KRN,5B,5B-5,GG,8/31/2020 17:09,Complete,,41605,Swamp Timothy,low,0.1
304,-119.6138149,35.74639094,KRN,5B,5B-5,GG,8/31/2020 17:09,Complete,,NA,Other cover,NA,0.9
305,-119.6068593,35.74619473,KRN,5B,5B-6,GG,9/1/2020 16:39,Complete,,41605,Swamp Timothy,low,0.025
305,-119.6068593,35.74619473,KRN,5B,5B-6,GG,9/1/2020 16:39,Complete,,41605,Swamp Timothy,medium,0.05
