"","OBJECTID","LIT","Date","Observer","Unit_Name","Subunit_Name","Combined","CirclePlot_Associated","ManagementAction","CommonName","ScientificName","ITIS_TSN","Stratum","PlantHeight","n_seed_heads","Quadrat_Size","seed_head1_F2TLength","seed_head1_Length","seed_head2_F2TLength","seed_head2_Length","seed_head3_F2TLength","seed_head3_Length","seed_head4_F2TLength","seed_head4_Length","seed_head5_F2TLength","seed_head5_Length","Comments","X","Y"
"11",573,"CLS","8/20/19 7:10","JM","T13A","T13A","CLS_T13A_T13A","C566","None","Timothy","Crypsis schoenoides",41605,"High",11,210,"5x5",NA,0.7,NA,1.1,NA,1,NA,0.9,NA,0.6,"",-13585987.02,4744169.148
"12",568,"CLS","8/20/19 18:41","TB","T13A","T13A","CLS_T13A_T13A","C563","None","Timothy","Crypsis schoenoides",41605,"Low",16,236,"15x15",NA,0.7,NA,0.6,NA,0.8,NA,1,NA,0.8,"",-13586028.85,4743572.084
"13",553,"CLS","8/20/19","TB","T17","T17","CLS_T17_T17","C538","None","Timothy","Crypsis schoenoides",41605,"High",0,68,"5x5",NA,0.8,NA,1.3,NA,0.6,NA,2.3,NA,1.5,"",-13584187.5,4742553.794
"14",546,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C555","None","Timothy","Crypsis schoenoides",41605,"Med",19,79,"5x5",NA,0.8,NA,0.6,NA,0.5,NA,0.4,NA,0.7,"",-13584769.28,4743179.506
"15",559,"CLS","8/20/19 17:47","TB","T15","T15:1","CLS_T15_T15:1","C533","None","Timothy","Crypsis schoenoides",41605,"High",8.5,186,"5x5",NA,0.8,NA,1.5,NA,1.2,NA,0.6,NA,1.1,"",-13587392.33,4742542.659
"16",548,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C547","None","Timothy","Crypsis schoenoides",41605,"High",21,240,"5x5",NA,0.8,NA,0.8,NA,0.6,NA,1,NA,1.2,"",-13584508.98,4742954.764
"17",572,"CLS","8/20/19 19:02","JM","T13A","T13A","CLS_T13A_T13A","C565","None","Timothy","Crypsis schoenoides",41605,"High",0,107,"5x5",NA,1,NA,0.9,NA,1,NA,1.1,NA,1,"",-13585965.48,4743871.707
"18",575,"CLS","8/20/19 19:18","TB","T13A","T13A","CLS_T13A_T13A","C568","None","Timothy","Crypsis schoenoides",41605,"Low",2.5,154,"15x15",NA,1,NA,0.8,NA,1.5,NA,0.9,NA,1,"",-13586033.23,4744375.349
"19",551,"CLS","8/20/19","TB","T17","T17","CLS_T17_T17","C544","None","Timothy","Crypsis schoenoides",41605,"High",8.5,155,"5x5",NA,1,NA,0.6,NA,0.7,NA,0.5,NA,0.9,"",-13584282.23,4742728.698
"20",571,"CLS","8/20/19 19:02","TB","T13A","T13A","CLS_T13A_T13A","C565","None","Timothy","Crypsis schoenoides",41605,"Med",6,55,"5x5",NA,1.1,NA,0.7,NA,1,NA,0.6,NA,1.3,"",-13585963.64,4743864.469
"21",574,"CLS","8/20/19 19:11","TB","T13A","T13A","CLS_T13A_T13A","C566","None","Timothy","Crypsis schoenoides",41605,"High",9.5,120,"5x5",NA,1.1,NA,0.8,NA,1.1,NA,0.5,NA,1.2,"",-13585979.14,4744165.773
"22",563,"CLS","8/20/19 18:16","TB","T15","T15:1","CLS_T15_T15:1","C559","None","Timothy","Crypsis schoenoides",41605,"Med",12,65,"5x5",NA,1.2,NA,0.9,NA,1.3,NA,0.6,NA,0.7,"3 watergrass in quadrant with 1 infl",-13587508.61,4743361.743
"23",566,"CLS","8/20/19 18:24","JM","T15","T15:1","CLS_T15_T15:1","C561","None","Timothy","Crypsis schoenoides",41605,"High",10,112,"5x5",NA,1.2,NA,1.1,NA,1.4,NA,1.1,NA,1.2,"",-13587388.79,4743442.43
"24",565,"CLS","8/20/19 18:24","TB","T15","T15:1","CLS_T15_T15:1","C561","None","Timothy","Crypsis schoenoides",41605,"Med",2.5,38,"5x5",NA,1.3,NA,1,NA,1.5,NA,0.9,NA,0.5,"",-13587393.77,4743441.227
"25",567,"CLS","8/20/19 18:42","JM","T13A","T13A","CLS_T13A_T13A","C563","None","Timothy","Crypsis schoenoides",41605,"High",90,99,"5x5",NA,1.3,NA,1.2,NA,0.7,NA,0.3,NA,0.7,"",-13586029.85,4743571.447
"26",549,"CLS","8/20/19 16:28","TB","T17","T17","CLS_T17_T17","C543","Mowed","Timothy","Crypsis schoenoides",41605,"Low",14,24,"15x15",NA,1.4,NA,1.5,NA,1.4,NA,2.1,NA,1.5,"Recently mowed",-13584462.02,4742735.707
"27",570,"CLS","8/20/19 18:49","TB","T13A","T13A","CLS_T13A_T13A","C564","None","Timothy","Crypsis schoenoides",41605,"High",32,30,"30x30",NA,1.4,NA,2.9,NA,1.2,NA,3.8,NA,1.9,"",-13585730.56,4743767.299
"28",578,"CLS","8/20/19 19:29","JM","T13A","T13A","CLS_T13A_T13A","C567","None","Timothy","Crypsis schoenoides",41605,"High",14,97,"5x5",NA,1.5,NA,1.3,NA,2,NA,0.4,NA,1.2,"",-13585693.21,4744314.936
"29",558,"CLS","8/20/19 17:44","JM","T15","T15:1","CLS_T15_T15:1","C535","None","Timothy","Crypsis schoenoides",41605,"Low",7.5,117,"15x15",NA,1.5,NA,1.6,NA,1.5,NA,1.5,NA,1.4,"",-13587540.67,4742591.909
"30",545,"CLS","8/20/19 16:00","TB","T17","T17","CLS_T17_T17","C555","None","Timothy","Crypsis schoenoides",41605,"High",15,51,"5x5",NA,1.6,NA,2,NA,1.4,NA,1.3,NA,1.6,"",-13584766.74,4743169.116
"31",557,"CLS","8/20/19 17:40","TB","T15","T15:1","CLS_T15_T15:1","C535","None","Timothy","Crypsis schoenoides",41605,"Med",4.5,42,"5x5",NA,1.7,NA,2,NA,1.5,NA,1.8,NA,0.8,"",-13587524.73,4742582.031
"32",577,"CLS","8/20/19 19:30","TB","T13A","T13A","CLS_T13A_T13A","C567","None","Timothy","Crypsis schoenoides",41605,"High",28,67,"5x5",NA,1.7,NA,2.1,NA,1.8,NA,1.3,NA,1.8,"",-13585700.96,4744330.152
"33",219,"CLS","7/29/19 18:01"," TB","T24","T24:4","CLS_T24_T24:4","C151","None","Watergrass","Echinochloa crus-galli",502210,"Med",70,24,"30x30",4.1,1.8,25.6,11.1,6.6,2.1,30.2,13.1,8,6.6,"",-13586741.14,4741992.869
"34",569,"CLS","8/20/19 18:51","JM","T13A","T13A","CLS_T13A_T13A","C564","None","Timothy","Crypsis schoenoides",41605,"High",34,42,"5x5",NA,2.1,NA,1.6,NA,0.9,NA,1.5,NA,1.9,"Bull rush canopy",-13585725.65,4743759.219
"35",212,"CLS","7/29/19"," ","T24","T24:4","CLS_T24_T24:4","C156","None","Watergrass","Echinochloa crus-galli",502210,"High",70,67,"30x30",12.1,4.2,15.2,9.5,16,9.2,14.1,7.3,14,5.5,"",-13586705.22,4742335.918
"36",211,"CLS","7/29/19"," DT","T24","T24:4","CLS_T24_T24:4","C152","None","Watergrass","Echinochloa crus-galli",502210,"High",90.2,15,"30x30",8,4.5,5.5,10.3,32,14.8,23.6,11.9,8.3,8.1,"",-13586657.74,4742104.979
"37",195,"CLS","7/29/19 16:18"," JM","T24","T24:5","CLS_T24_T24:5","C149","None","Watergrass","Echinochloa crus-galli",502210,"Low",35,3,"30x30",7.4,5,21.2,10.8,7.7,6.5,NA,NA,NA,NA,"",-13586708.74,4741795.294
"38",556,"CLS","8/20/19","TB","T17","T17","CLS_T17_T17","C537","None","Timothy","Crypsis schoenoides",41605,"High",20,166,"5x5",NA,5,NA,0.9,NA,0.6,NA,1.1,NA,0.7,"",-13584376.32,4742554.359
"39",207,"CLS","7/29/19 17:18"," DT","T24","T24:4","CLS_T24_T24:4","C153","None","Watergrass","Echinochloa crus-galli",502210,"Med",73,127,"30x30",14.5,5.2,13.3,5.2,10.5,5,25.1,7.3,16.6,7,"",-13586742.38,4742180.555
"40",205,"CLS","7/29/19 17:17"," DT","T24","T24:4","CLS_T24_T24:4","C153","None","Watergrass","Echinochloa crus-galli",502210,"High",67,82,"30x30",4.5,5.7,10.5,5.1,11.4,5.7,6.4,5.2,12.3,8.5,"",-13586743.07,4742183.316
"41",197,"CLS","7/29/19 16:22"," DT","T24","T24:5","CLS_T24_T24:5","C144","None","Watergrass","Echinochloa crus-galli",502210,"Med",66,9,"30x30",5.4,6.1,14.6,7.5,10.6,5.9,7.5,7.3,10.3,8.2,"",-13586713.23,4741576.051
"42",136,"CLS","7/25/19 15:03"," JM","T6","T6:2","CLS_T6_T6:2","C187","None","Watergrass","Echinochloa crus-galli",502210,"Low",65,4,"30x30",20.5,7,17,17,7,7,6.5,6.5,NA,NA,"",-13587035.55,4747776.071
"43",165,"CLS","7/25/19"," KE","T6","T6:4","CLS_T6_T6:4","C172","None","Watergrass","Echinochloa crus-galli",502210,"High",101,35,"30x30",1,7,6.2,6.2,24.6,12,2.9,8.5,25.6,11.5,"",-13586382.34,4747151.05
"44",127,"CLS","7/25/19 14:11"," KE","T6","T6:1","CLS_T6_T6:1","C198","None","Watergrass","Echinochloa crus-galli",502210,"High",54,36,"30x30",4.7,7,10,8.5,12.7,6,23.1,9.5,13,6.8,"",-13587311.18,4748200.35
"45",199,"CLS","7/29/19"," ","T24","T24:5","CLS_T24_T24:5","C146","None","Watergrass","Echinochloa crus-galli",502210,"Low",21,3,"30x30",17.3,7.3,6.7,5,3,3,NA,NA,NA,NA,"",-13586746.08,4741722.974
"46",181,"CLS","43675.61528"," ","T6","T6:3","CLS_T6_T6:3","C182","None","Watergrass","Echinochloa crus-galli",502210,"High",88,29,"30x30",13,7.5,14.2,8.5,8.2,6,7.8,7.8,33.7,13.5,"",-13586535.03,4747536.019
"47",217,"CLS","7/29/19"," TB","T24","T24:4","CLS_T24_T24:4","C150","None","Watergrass","Echinochloa crus-galli",502210,"Med",73,38,"30x30",9.3,7.5,12.4,7.7,24.5,13.3,20.3,12.6,17,10.3,"",-13586676.19,4741960.882
"48",170,"CLS","7/25/19"," KE","T6","T6:3","CLS_T6_T6:3","C186","None","Watergrass","Echinochloa crus-galli",502210,"Low",124,14,"30x30",7.8,7.8,13,9.5,9.4,10.6,5.2,9,6,5.3,"",-13586540.1,4747734.416
"49",164,"CLS","7/25/19"," KE","T6","T6:4","CLS_T6_T6:4","C172","None","Watergrass","Echinochloa crus-galli",502210,"Low",55.5,17,"30x30",10.9,8,4.4,6.5,6.5,10.3,14.1,9,1.2,7.7,"",-13586382.54,4747150.177
"50",143,"CLS","7/25/19 15:19"," KE","T6","T6:2","CLS_T6_T6:2","C194","None","Watergrass","Echinochloa crus-galli",502210,"Med",64,46,"30x30",11.5,8.5,15,9.5,9.5,8.2,22.2,10,13.3,10.7,"",-13587190.85,4748007.535
"51",122,"CLS","7/25/19"," KE","T6","T6:1","CLS_T6_T6:1","C199","None","Watergrass","Echinochloa crus-galli",502210,"High",78,85,"30x30",13.2,8.5,18.4,11.3,21,10.5,21.8,8.3,20.9,12,"",-13587185.64,4748276.351
"52",173,"CLS","7/25/19"," KE","T6","T6:3","CLS_T6_T6:3","C185","None","Watergrass","Echinochloa crus-galli",502210,"High",122,71,"30x30",6.6,8.6,15.9,10.5,34,13.4,18.8,11.2,24.6,10.5,"",-13586608.45,4747736.667
"53",218,"CLS","7/29/19 17:57"," DT","T24","T24:4","CLS_T24_T24:4","C151","None","Watergrass","Echinochloa crus-galli",502210,"High",69,63,"30x30",28.6,9,21.5,12,24,6.4,17.6,9.5,23,9.2,"",-13586743.62,4741988.051
"54",144,"CLS","7/25/19"," KE","T6","T6:2","CLS_T6_T6:2","C195","None","Watergrass","Echinochloa crus-galli",502210,"High",90,90,"30x30",16.1,9.2,23.5,13,22.2,10.6,16,9.8,14.7,9.5,"",-13587069.76,4748062.655
"55",213,"CLS","7/29/19 17:38"," ","T24","T24:4","CLS_T24_T24:4","C156","None","Watergrass","Echinochloa crus-galli",502210,"Med",65,189,"30x30",12.1,9.2,23,10.3,11.3,8.11,21,10.5,14,8.4,"",-13586707.24,4742343.443
"56",194,"CLS","7/29/19"," DT","T24","T24:5","CLS_T24_T24:5","C144","None","Watergrass","Echinochloa crus-galli",502210,"Low",47,7,"30x30",10.6,9.3,34.5,11.5,26.1,11.2,22.2,10.4,10.5,9.9,"",-13586714.16,4741568.394
"57",184,"CLS","7/29/19"," ","T6","T6:3","CLS_T6_T6:3","C178","None","Watergrass","Echinochloa crus-galli",502210,"Low",55,6,"30x30",32.3,9.5,9.9,9.9,36.4,11.2,34.5,11.2,33,10.5,"",-13586422.8,4747380.067
"58",206,"CLS","7/29/19"," ","T24","T24:4","CLS_T24_T24:4","C155","None","Watergrass","Echinochloa crus-galli",502210,"Low",44,12,"30x30",16,9.5,14.2,6.7,15,8.7,21.5,9.2,23,10.3,"",-13586590.66,4742261.357
"59",185,"CLS","7/29/19"," JM","T6","T6:3","CLS_T6_T6:3","C178","None","Watergrass","Echinochloa crus-galli",502210,"High",102,63,"30x30",15.7,9.5,15,8,12,9.7,27.6,14,9.3,8.1,"",-13586427.35,4747387.506
"60",196,"CLS","7/29/19 16:20"," ","T24","T24:5","CLS_T24_T24:5","C149","None","Watergrass","Echinochloa crus-galli",502210,"Med",61,11,"30x30",19.3,9.8,11.5,7,15,6.5,7.8,7.8,15.5,7.3,"",-13586712.93,4741786.566
"61",129,"CLS","7/25/19"," JM","T6","T6:1","CLS_T6_T6:1","C202","None","Watergrass","Echinochloa crus-galli",502210,"Low",90,2,"30x30",25.5,10,20,18,NA,NA,NA,NA,NA,NA,"",-13587373.07,4748460.335
"62",135,"CLS","7/25/19"," JM","T6","T6:1","CLS_T6_T6:1","C201","None","Watergrass","Echinochloa crus-galli",502210,"Low",75,14,"30x30",15.5,10,7,10,21,11,8.5,13,23,11,"",-13587261.86,4748411.31
"63",132,"CLS","7/25/19"," JM","T6","T6:1","CLS_T6_T6:1","C201","None","Watergrass","Echinochloa crus-galli",502210,"Med",80,15,"30x30",16,10,23,11,12,16,14,32,9,5.5,"",-13587260.08,4748415.746
"64",186,"CLS","7/29/19"," DT","T6","T6:3","CLS_T6_T6:3","C184","None","Watergrass","Echinochloa crus-galli",502210,"High",119,30,"30x30",11.5,10,5.6,9.8,6.8,12.1,23,13,3.5,7.6,"",-13586686.95,4747692.346
"65",145,"CLS","7/25/19"," JM","T6","T6:2","CLS_T6_T6:2","C190","None","Watergrass","Echinochloa crus-galli",502210,"High",90,73,"30x30",19.5,10,34,13,26,12,13,10,24,9,"",-13586809.55,4747852.413
"66",210,"CLS","7/29/19 17:32"," DT","T24","T24:4","CLS_T24_T24:4","C152","None","Watergrass","Echinochloa crus-galli",502210,"Low",58,3,"30x30",13,10.2,26.4,12.7,11.5,8.4,NA,NA,NA,NA,"",-13586663.32,4742101.912
"67",200,"CLS","7/29/19 16:35"," ","T24","T24:5","CLS_T24_T24:5","C148","None","Watergrass","Echinochloa crus-galli",502210,"Low",39,6,"30x30",25.1,10.2,31.2,6,7,7.5,12,7.3,16,6.5,"",-13586865,4741799.943
"68",201,"CLS","7/29/19"," ","T24","T24:5","CLS_T24_T24:5","C148","None","Watergrass","Echinochloa crus-galli",502210,"Low",45,8,"30x30",19.5,10.2,8.9,10.7,12.2,10,11.8,9.7,12.3,9.5,"",-13586869.6,4741802.795
"69",216,"CLS","43675.74375"," ","T24","T24:4","CLS_T24_T24:4","C157","None","Watergrass","Echinochloa crus-galli",502210,"Low",85,46,"30x30",22.2,10.2,13,8.9,13.5,9.8,9,6.7,18.1,9.3,"",-13586549.95,4742352.924
"70",140,"CLS","7/25/19"," KE","T6","T6:2","CLS_T6_T6:2","C194","None","Watergrass","Echinochloa crus-galli",502210,"High",88,22,"30x30",18.8,10.4,13.2,8.5,30.5,14.8,14,5.5,7.2,7.2,"",-13587183.12,4748010.761
"71",192,"CLS","43675.67083"," ","T24","T24:5","CLS_T24_T24:5","C147","None","Watergrass","Echinochloa crus-galli",502210,"Low",80,4,"30x30",32.3,10.5,6.2,9.5,11.5,17.2,10.5,10.5,NA,NA,"",-13586512.09,4741757.561
"72",204,"CLS","7/29/19 17:14"," ","T24","T24:4","CLS_T24_T24:4","C155","None","Watergrass","Echinochloa crus-galli",502210,"Med",59,18,"30x30",38.4,10.5,13,9.5,11.5,6.6,22,11.4,4.4,8,"",-13586590.29,4742264.611
"73",123,"CLS","7/25/19"," KE","T6","T6:1","CLS_T6_T6:1","C199","None","Watergrass","Echinochloa crus-galli",502210,"Med",83,26,"30x30",22.1,10.5,17.5,11.5,9.5,9.5,18.7,9.4,13.4,10.5,"",-13587192.99,4748286.722
"74",168,"CLS","7/25/19"," KE","T6","T6:3","CLS_T6_T6:3","C186","None","Watergrass","Echinochloa crus-galli",502210,"Med",127,36,"30x30",8.5,10.5,25.2,9,15.3,11,15.6,12,5,9.7,"",-13586536.82,4747732.123
"75",209,"CLS","7/29/19"," ","T24","T24:4","CLS_T24_T24:4","C154","None","Watergrass","Echinochloa crus-galli",502210,"Med",64,38,"30x30",27,10.5,38,10.3,24.4,10.5,27.2,11.3,22.5,9.8,"",-13586774.67,4742266.392
"76",202,"CLS","7/29/19"," DT","T24","T24:5","CLS_T24_T24:5","C145","None","Watergrass","Echinochloa crus-galli",502210,"Low",62,6,"30x30",7.5,10.7,14.2,10.4,22.4,10.3,18.8,12.4,5.1,12.3,"",-13586561.65,4741644.79
"77",154,"CLS","7/25/19"," JM","T6","T6:4","CLS_T6_T6:4","C174","None","Watergrass","Echinochloa crus-galli",502210,"High",84,16,"30x30",21,11,14,8,18,11,13,8,13,7.5,"",-13586267.39,4747182.351
"78",149,"CLS","7/25/19"," KE","T6","T6:2","CLS_T6_T6:2","C193","None","Watergrass","Echinochloa crus-galli",502210,"Med",93,21,"30x30",11,11,13,11.3,9,8.8,8.9,11.2,12,10.3,"",-13586942.79,4747967.281
"79",215,"CLS","7/29/19"," ","T24","T24:4","CLS_T24_T24:4","C157","None","Watergrass","Echinochloa crus-galli",502210,"Low",32,13,"30x30",24.3,11.1,20.2,11.8,23.9,11.3,6.7,6.7,10.1,10.1,"",-13586553.05,4742337.259
"80",203,"CLS","7/29/19"," DT","T24","T24:5","CLS_T24_T24:5","C145","None","Watergrass","Echinochloa crus-galli",502210,"Med",64,28,"30x30",25,11.4,31,12.1,24.2,11.1,22,11.1,18.1,10,"",-13586562.08,4741644.069
"81",148,"CLS","7/25/19 15:42"," ","T6","T6:2","CLS_T6_T6:2","C189","None","Watergrass","Echinochloa crus-galli",502210,"High",93,60,"30x30",24,12,28,11,24,7,22.5,9.5,17.5,7.5,"",-13586694.27,4747817.949
"82",151,"CLS","7/25/19"," JM","T6","T6:2","CLS_T6_T6:2","C189","None","Watergrass","Echinochloa crus-galli",502210,"High",95,66,"30x30",29,12,24,12.5,13,10,23.5,10,23,12,"",-13586691.07,4747818.834
"83",150,"CLS","7/25/19"," KE","T6","T6:2","CLS_T6_T6:2","C193","None","Watergrass","Echinochloa crus-galli",502210,"Low",93,5,"30x30",22,12.3,12.5,10.5,18.3,13,6,6.5,23,12.5,"",-13586954.83,4747967.323
"84",157,"CLS","7/25/19","TB KE","T6","T6:4","CLS_T6_T6:4","C171","None","Watergrass","Echinochloa crus-galli",502210,"High",147,20,"30x30",31,12.4,31.2,14.6,32.8,13.9,20.1,10.5,28.8,15.2,"",-13586648.46,4747122.204
"85",179,"CLS","7/29/19"," DT","T6","T6:3","CLS_T6_T6:3","C180","None","Watergrass","Echinochloa crus-galli",502210,"High",138,40,"30x30",18,12.4,9,12.8,7.2,13.9,18,11.4,15.6,11.5,"",-13586925.66,4747541.219
"86",153,"CLS","7/25/19"," KE","T6","T6:4","CLS_T6_T6:4","C170","None","Watergrass","Echinochloa crus-galli",502210,"High",105,5,"30x30",23,12.5,8.5,14.2,6.4,13.5,6.4,11.8,2.7,9.5,"",-13586765.92,4747052.259
"87",208,"CLS","7/29/19"," ","T24","T24:4","CLS_T24_T24:4","C154","None","Watergrass","Echinochloa crus-galli",502210,"High",67,32,"30x30",33,12.5,24.7,10.4,6.7,10,20,8.3,19.8,10.3,"",-13586767.99,4742274.909
"88",146,"CLS","7/25/19"," KE","T6","T6:2","CLS_T6_T6:2","C195","None","Watergrass","Echinochloa crus-galli",502210,"Med",81,59,"30x30",23,12.5,18,10.7,14.6,9.5,17,10,10.6,8.5,"",-13587068.15,4748065.243
"89",156,"CLS","7/25/19"," TB KE","T6","T6:4","CLS_T6_T6:4","C171","None","Watergrass","Echinochloa crus-galli",502210,"High",133,26,"30x30",33.1,12.6,24.5,15.7,39.2,14.2,12,13.4,8.5,10.6,"",-13586649.97,4747120.404
"90",130,"CLS","7/25/19"," KE","T6","T6:1","CLS_T6_T6:1","C197","None","Watergrass","Echinochloa crus-galli",502210,"High",91,30,"30x30",26.2,13,25.7,12.7,24.8,14,23,15.4,18.3,12.5,"",-13587420.03,4748197.954
"91",147,"CLS","7/25/19"," JM","T6","T6:2","CLS_T6_T6:2","C190","None","Watergrass","Echinochloa crus-galli",502210,"Med",81,30,"30x30",30,13,36,12,22,11.5,25,13.5,18,10.5,"",-13586802.79,4747854.995
"92",187,"CLS","7/29/19 15:11"," JM","T6","T6:3","CLS_T6_T6:3","C177","None","Watergrass","Echinochloa crus-galli",502210,"Med",76,12,"30x30",34.8,13.5,12.3,13,18.5,8,31,13.5,32,13.3,"",-13586618.09,4747385.466
"93",175,"CLS","7/25/19"," TB","T6","T6:3","CLS_T6_T6:3","C185","None","Watergrass","Echinochloa crus-galli",502210,"High",101,79,"30x30",29.2,13.9,40,13.2,24.2,9.6,24.2,11.7,32.6,11.3,"",-13586605.37,4747736.24
"94",124,"CLS","7/25/19"," JM","T6","T6:1","CLS_T6_T6:1","C200","None","Watergrass","Echinochloa crus-galli",502210,"Med",94,10,"30x30",26,14,41,15.5,18,14,48,18,28,14,"",-13587447.66,4748371.355
"95",155,"CLS","7/25/19"," ","T6","T6:4","CLS_T6_T6:4","C174","None","Watergrass","Echinochloa crus-galli",502210,"Low",99,10,"30x30",27,14,26,16,14,14,12,10,8,8,"",-13586270.87,4747191.132
"96",171,"CLS","7/25/19"," JM","T6","T6:3","CLS_T6_T6:3","C176","None","Watergrass","Echinochloa crus-galli",502210,"Low",80,12,"30x30",18,14,14,9,9,9,8,8,19,10,"",-13586834.73,4747375.174
"97",169,"CLS","7/25/19"," JM","T6","T6:3","CLS_T6_T6:3","C176","None","Watergrass","Echinochloa crus-galli",502210,"Med",72,15,"30x30",18,14,14,9,9,9,8,8,19,10,"",-13586840.53,4747381.265
"98",172,"CLS","7/25/19"," JM","T6","T6:3","CLS_T6_T6:3","C179","None","Watergrass","Echinochloa crus-galli",502210,"Low",75,18,"30x30",20,14,18,14,26,16,15,11,10,10,"",-13586775.49,4747460.727
"99",198,"CLS","7/29/19"," JM","T24","T24:5","CLS_T24_T24:5","C146","None","Watergrass","Echinochloa crus-galli",502210,"Med",82,26,"30x30",24.5,14.2,17.5,10,25,10.3,24.5,10.4,18.5,12,"",-13586751.96,4741717.182
"100",579,"CLS","8/20/19 20:03","TB","T10","T10:3","CLS_T10_T10:3","C165","None","Watergrass","Echinochloa crus-galli",502210,"Low",60,3,"30x30",26.2,14.3,29.5,11.9,11.8,15.6,NA,NA,NA,NA,"",-13586860.56,4746610.896
"101",152,"CLS","7/25/19"," KE","T6","T6:4","CLS_T6_T6:4","C170","None","Watergrass","Echinochloa crus-galli",502210,"High",110,6,"30x30",11.4,14.5,5,10.2,8,12.3,4.3,13.2,3.3,14.5,"",-13586771.51,4747066.469
"102",193,"CLS","7/29/19"," ","T24","T24:5","CLS_T24_T24:5","C147","None","Watergrass","Echinochloa crus-galli",502210,"Med",88,14,"30x30",27,14.5,24.7,12.5,34.7,13.2,45.4,15,26,10.8,"",-13586514.26,4741761.092
"103",141,"CLS","7/25/19"," JM","T6","T6:2","CLS_T6_T6:2","C188","None","Watergrass","Echinochloa crus-galli",502210,"Med",82,15,"30x30",30,15,20,12,20,11,19,10.5,14,10,"",-13586919.33,4747818.347
"104",191,"CLS","7/29/19"," ","T6","T6:3","CLS_T6_T6:3","C175","None","Watergrass","Echinochloa crus-galli",502210,"High",115,17,"30x30",25.4,15,27.5,15.5,22,17,22.5,13.1,18.5,11.4,"",-13586728.34,4747262.287
"105",162,"CLS","7/25/19"," JM","T6","T6:4","CLS_T6_T6:4","C168","None","Watergrass","Echinochloa crus-galli",502210,"High",99,21,"30x30",41,15,26,11,18,11,40,15,9,9,"",-13586340.62,4746957.731
"106",163,"CLS","7/25/19"," JM","T6","T6:4","CLS_T6_T6:4","C168","None","Watergrass","Echinochloa crus-galli",502210,"High",99,28,"30x30",21,15,17,34,13,27.5,15,33,12,21.5,"",-13586338.03,4746955.312
