OBJECTID,LIT,Date,Observer,Unit_Name,Subunit_Name,VantagePolygonID,ProportionVisible,Timothy_Low,Timothy_Med,Timothy_High,Watergrass_Low,Watergrass_Med,Watergrass_High,NoFoodCover,AreaVisible,Comments,Shape_Length,Shape_Area
12,SAC,2019-07-18 20:00,Therese burns,T10,T10:3,VP61,0.287448376,0.000,0.000,0.000,0.050,0.400,0.350,0.000,16.18720245,,1500.003119,109936.4122
13,SAC,2019-07-21 21:56,JM,P1A,P1A:1,VP62,0.003955014,0.000,0.150,0.150,0.000,0.000,0.000,0.700,0.464408427,,255.7146547,3153.59418
14,SAC,2019-07-21 22:04,JM,P1A,P1A:1,VP63,0.045367289,0.000,0.100,0.700,0.000,0.000,0.000,0.200,5.327150345,,941.4025094,36175.79337
15,SAC,2019-07-21 22:08,JM,P1A,P1A:1,VP64,0.006671085,0.000,0.200,0.600,0.000,0.000,0.000,0.200,0.783336878,,304.0505027,5320.004715
16,SAC,2019-07-21 22:09, ,P1A,P1A:1,VP65,0.003823998,0.100,0.000,0.400,0.000,0.000,0.000,0.500,0.44902423,,265.0646151,3049.605838
17,SAC,2019-07-21 22:16,JM,P1A,P1A:1,VP66,0.069282629,0.300,0.200,0.200,0.000,0.000,0.000,0.300,8.135354042,,1159.429688,55255.74347
18,SAC,2019-07-21 22:20,JM,P1A,P1A:1,VP67,0.108344205,0.150,0.150,0.150,0.000,0.000,0.000,0.550,12.72207069,,1146.323674,86413.47001
19,SAC,2019-07-21 22:30,JM,P1A,P1A:1,VP68,0.019134715,0.000,0.200,0.200,0.000,0.000,0.000,0.600,2.246850491,,553.5441353,15262.13443
20,SAC,2019-07-21 22:33,JM,P1A,P1A:1,VP69,0.024629997,0.100,0.100,0.000,0.000,0.000,0.000,0.800,2.892121077,,552.1596448,19644.43327
21,SAC,2019-07-21 22:54,JM,P1A,P1A:1,VP70,0.005865212,0.250,0.000,0.000,0.250,0.000,0.000,0.500,0.68870914,,275.8137023,4676.854397
22,SAC,2019-07-22 0:02,JM,P8,P8:1,VP71,0.326059192,0.000,0.050,0.750,0.000,0.000,0.000,0.200,19.45845604,,1651.578858,132018.4311
23,SAC,2019-07-22 0:08,JM,P7A,P7A:4,VP72,0.168878838,0.000,0.350,0.100,0.300,0.000,0.000,0.300,8.640213966,,1107.273995,58625.15928
24,SAC,2019-07-22 0:11,JM,P7A,P7A:4,VP73,0.227622911,0.000,0.000,0.000,0.150,0.300,0.200,0.350,11.64569473,,1264.161489,79019.91942
25,SAC,2019-07-22 0:14,JM,P7A,P7A:4,VP74,0.200217724,0.000,0.000,0.000,0.000,0.000,0.000,1.000,10.24358368,,1066.248612,69505.05499
26,SAC,2019-07-22 0:18,JM,P7A,P7A:4,VP75,0.128970042,0.000,0.000,0.000,0.000,0.000,0.000,1.000,6.598392487,,868.7850176,44770.32543
27,SAC,2019-07-22 0:20,JM,P7A,P7A:4,VP78,0.033117943,0.000,0.000,0.000,0.000,0.200,0.200,0.600,1.69438684,,652.363991,11496.27294
28,SAC,2019-07-22 0:24,JM,P7A,P7A:4,VP79,0.097183384,0.000,0.000,0.000,0.150,0.300,0.300,0.250,4.972115993,,1059.308,33735.57276
29,SAC,2019-07-22 0:26,JM,P8,P8:1,VP80,0.073043965,0.000,0.100,0.600,0.000,0.000,0.000,0.300,4.359095097,,674.8222151,29575.21466
30,SAC,2019-07-22 0:29,Julia,P8,P8:1,VP81,0.055422839,0.000,0.000,0.700,0.000,0.000,0.000,0.300,3.307507277,,609.8217239,22438.9508
31,SAC,2019-07-22 0:33,JM,P8,P8:1,VP82,0.039259963,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.342943668,,608.6370712,15894.20159
32,SAC,2019-07-22 0:37,JM,T36,T36:2,VP83,0.103187993,0.000,0.000,0.000,0.000,0.000,0.500,0.500,5.203733444,,900.2380325,35300.8141
33,SAC,2019-07-22 0:38,JM,T36,T36:2,VP84,0.059436757,0.000,0.000,0.000,0.000,0.000,0.100,0.900,2.997373819,recent standingn water/bare ground ,605.8819591,20332.75327
34,SAC,2019-07-22 0:40,JM,T36,T36:2,VP85,0.366978467,0.000,0.000,0.000,0.000,0.250,0.400,0.350,18.5065937,,1436.64592,125539.973
35,SAC,2019-07-22 0:46,JM,T35,T35:1,VP86,0.227052495,0.000,0.000,0.000,0.300,0.400,0.000,0.300,9.724488258,,1153.399532,65967.0852
36,SAC,2019-07-22 0:47,JM,T35,T35:1,VP87,0.333820462,0.000,0.000,0.150,0.200,0.400,0.000,0.250,14.29727745,,1284.316499,96985.79179
37,SAC,2019-07-22 0:58,JM,T36,T36:1,VP88,0.333396673,0.000,0.000,0.000,0.150,0.600,0.150,0.150,7.741528988,,1037.201116,52518.92265
38,SAC,2019-07-22 1:00,JM,T36,T36:2,VP89,0.015295598,0.000,0.000,0.000,0.000,0.000,0.200,0.800,0.771351397,Recently mowed,367.9448208,5232.715944
39,SAC,2019-07-22 1:02,JM,T36,T36:1,VP90,0.095684424,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.221808672,Recently mowed,570.7932748,15073.30814
40,SAC,2019-07-22 1:03,JM,T36,T36:1,VP91,0.073785618,0.000,0.000,0.000,0.000,0.000,0.700,0.300,1.713314533,,454.1650094,11623.48288
41,SAC,2019-07-22 1:06,JM,T36,T36:1,VP93,0.247879788,0.000,0.000,0.000,0.050,0.250,0.550,0.150,5.755812168,,796.9541256,39049.47321
42,SAC,2019-07-23 19:31,JM,T35,T35:1,VP94,0.107853867,0.000,0.000,0.000,0.200,0.200,0.400,0.100,4.619299889,,1096.849687,31334.2912
43,KRN,2019-08-09 15:38,LD,14,14E-2,VP100,0.048057731,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.919366121,Upland species. ,631.1238484,24127.89263
44,KRN,2019-08-09 15:42,LD,14,14E-2,VP101,0.091512591,0.000,0.000,0.000,0.000,0.000,0.000,1.000,7.463343143,,953.1467961,45946.44673
45,KRN,2019-08-09 15:46,TB,14,14E-1,VP102a,0.098044828,0.000,0.000,0.000,0.000,0.000,0.000,1.000,8.419981003,,994.5595481,51836.8809
46,KRN,2019-08-09 15:55,GG,14,14D-2,VP109,0.023680905,0.050,0.000,0.000,0.000,0.000,0.000,0.950,1.504885674,,419.8207384,9263.311129
47,KRN,2019-08-09 16:08,GG,14,14D-2,VP112,0.063558854,0.050,0.000,0.000,0.000,0.000,0.000,0.950,4.039069653,,618.6959096,24861.1046
48,KRN,2019-08-09 16:15,LD,14,14G-1,VP114,0.009843057,0.900,0.000,0.000,0.000,0.000,0.000,0.100,1.309279919,,435.7627746,8060.883049
49,KRN,2019-08-09 16:17,GG,14,14D-2,VP115,0.03828254,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.432797909,Upland plants,651.6904784,14973.89557
50,KRN,2019-08-09 16:19,LD,14,14-F,VP116,0.009183917,0.800,0.200,0.000,0.000,0.000,0.000,0.000,0.941397607,,696.4525756,5795.887513
51,KRN,2019-08-09 16:20,LD,14,14-F,VP117,0.047328401,0.100,0.000,0.000,0.000,0.000,0.000,0.900,4.851398945,,1023.420369,29868.68027
52,KRN,2019-08-09 16:25,TB,14,14G-1,VP119,0.089147829,0.300,0.000,0.000,0.000,0.000,0.000,0.000,11.8580513,,1106.724561,73008.6759
53,KRN,2019-08-09 16:32,TB,14,14G-1,VP122,0.071618378,0.250,0.100,0.025,0.000,0.000,0.000,0.000,9.526359558,,1101.015264,58655.35827
54,KRN,2019-08-09 16:34,GG,14,14D-1,VP123,0.017549679,0.050,0.000,0.000,0.000,0.000,0.000,0.950,1.446039796,,368.960204,8900.237159
55,KRN,2019-08-09 16:35,TB,14,14G-1,VP124,0.077803969,0.300,0.150,0.000,0.000,0.000,0.000,0.000,10.34914398,,1377.239848,63727.17523
56,KRN,2019-08-09 16:41,LD,14,14G-1,VP125,0.018840356,0.350,0.000,0.000,0.000,0.000,0.000,0.650,2.506060839,,541.2809556,15432.34213
57,KRN,2019-08-09 16:42,GG,14,14D-1,VP126,0.046177134,0.050,0.000,0.000,0.000,0.000,0.000,0.950,3.804855347,,821.1350023,23417.9016
58,KRN,2019-08-09 16:59,LD,14,14G-2,VP130,0.003523994,0.600,0.400,0.000,0.000,0.000,0.000,0.000,0.422020674,,507.3278808,2598.47595
59,KRN,2019-08-09 17:00,LD,14,14G-2,VP131,0.012010895,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.438381314,,592.7100556,8856.429503
60,KRN,2019-08-09 17:01,GG,14,14D-2,VP132,0.027843459,0.050,0.000,0.000,0.000,0.000,0.000,0.950,1.769409895,,422.4494485,10891.5435
61,KRN,2019-08-09 17:04,GG,14,14D-2,VP133,0.018958857,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.204807162,,402.4028443,7415.362511
62,KRN,2019-08-09 17:08,TB,14,14-F,VP135,0.04551696,0.000,0.000,0.000,0.000,0.000,0.000,1.000,4.665717125,,862.5607618,28723.39552
63,KRN,2019-08-09 17:11,LD,14,14C-1,VP136,0.017490447,0.400,0.000,0.000,0.000,0.000,0.000,0.600,1.621739507,,477.0989405,9982.662619
64,KRN,2019-08-09 17:13,GG,14,14A-1,VP138,0.122669674,0.050,0.000,0.000,0.000,0.000,0.000,0.950,7.40887022,"Timothy only in swale, observed while driving along lever",1354.500455,45595.14715
65,KRN,2019-08-09 17:14,TB,14,14C-2,VP139,0.031915687,0.650,0.300,0.025,0.000,0.000,0.000,0.025,1.877379298,,473.4390117,11555.08506
66,KRN,2019-08-09 17:18,JM,14,14B-2,VP140,0.066228457,0.100,0.000,0.000,0.000,0.000,0.000,0.900,6.07414341,,936.6974864,37378.02777
67,KRN,,JM,14,14B-2,VP141,0.056912247,0.025,0.000,0.000,0.000,0.000,0.000,0.950,5.219707012,,881.8566887,32121.84069
68,KRN,2019-08-09 17:19,GG,14,14A-1,VP142,0.140252024,0.025,0.000,0.000,0.000,0.000,0.000,0.950,8.470789909,"Observed while driving, ",1435.53481,52126.85851
69,KRN,2019-08-09 17:25,Tb,14,14C-2,VP147,0.091923922,0.100,0.350,0.250,0.000,0.000,0.000,0.300,5.40724802,,977.1399904,33277.79197
70,KRN,2019-08-09 17:35,JM,14,14B-1,VP150,0.052987803,0.750,0.000,0.000,0.000,0.000,0.000,0.250,4.008776188,,652.8677405,24671.52123
71,KRN,2019-08-09 17:42,JM,14,14B-1,VP152,0.142457917,0.500,0.150,0.000,0.000,0.000,0.000,0.350,10.77761173,,1255.509619,66330.00268
72,KRN,2019-08-09 17:50,JM,14,14A-2,VP154,0.043103918,0.025,0.000,0.000,0.000,0.000,0.000,0.950,2.308494091,,493.2957346,14204.75775
73,KRN,2019-08-09 17:54,GG,14,14A-2,VP156,0.153953284,0.025,0.000,0.000,0.000,0.000,0.000,0.950,8.245195389,,921.6669011,50733.77953
74,KRN,2019-08-09 17:58,GG,14,14A-1,VP157,0.168648511,0.050,0.000,0.000,0.000,0.000,0.000,0.950,10.1858511,,1396.614533,62678.9998
75,SLW,2019-08-12 14:58,JM,Lewis 6,22,VP158,0.025763942,0.000,0.000,0.000,0.300,0.100,0.100,0.000,1.509268045,,421.0189381,9965.009794
76,SLW,2019-08-12 16:22,JM,Lewis 1,22,VP162,0.111785538,0.000,0.200,0.500,0.000,0.200,0.000,0.000,3.300486803,,836.1436402,21792.92598
77,SLW,2019-08-12 16:27,JM,Lewis 1,22,VP164,0.119193353,0.000,0.000,0.000,0.100,0.100,0.000,0.000,3.519203901,Open water,715.6094571,23235.62838
78,SLW,2019-08-12 16:29,JM,Lewis 1,22,VP165,0.060920801,0.000,0.000,0.000,0.100,0.050,0.000,0.000,1.798696637,,475.6684261,11875.64533
79,SLW,2019-08-12 16:54,JM,Beach Lake 3,Beach Lake 3,VP166,0.147508919,0.000,0.000,0.250,0.000,0.000,0.000,0.000,2.676165819,,539.5471788,17675.97151
80,SLW,2019-08-12 16:56,JM,Beach Lake 3,Beach Lake 3,VP167,0.086042359,0.000,0.000,0.250,0.000,0.000,0.000,0.750,1.561014533,,397.8593209,10310.62193
81,SLW,2019-08-12 16:59,BT,Beach Lake 3,Beach Lake 3,VP168,0.159288287,0.400,0.300,0.000,0.000,0.000,0.000,0.300,2.889871597,,546.9065098,19087.47763
82,SLW,2019-08-12 17:12,LD,Beach Lake 3,Beach Lake 3,VP169,0.085747801,0.300,0.500,0.000,0.000,0.000,0.000,0.200,1.555670738,,391.9741902,10275.35531
83,SLW,2019-08-12 17:17,JM,Beach Lake 3,Beach Lake 3,VP170,0.090597436,0.100,0.500,0.000,0.000,0.000,0.000,0.400,1.643655181,,458.1422647,10856.52661
84,SLW,2019-08-12 17:38,BT,Beach Lake 1,Beach Lake 1,VP171,0.084047869,0.300,0.300,0.000,0.000,0.000,0.000,0.400,3.419126749,,581.5466096,22585.72799
85,SLW,2019-08-12 17:41,LD,Beach Lake 1,Beach Lake 1,VP172,0.085830115,0.300,0.000,0.050,0.000,0.000,0.000,1.000,3.491629601,,632.56052,23064.5963
86,SLW,2019-08-12 17:45,LD,Beach Lake 1,Beach Lake 1,VP173,0.10828314,0.500,0.150,0.000,0.000,0.000,0.000,0.000,4.405035496,,749.4771889,29099.59531
87,SLW,2019-08-12 17:51,LD,Beach Lake 1,Beach Lake 1,VP174,0.086556405,0.350,0.200,0.200,0.000,0.000,0.000,0.250,3.5211761,,640.5584209,23260.64282
88,SLW,2019-08-12 7:21,JM,HQ-7,27a,VP175,0.094888709,0.200,0.000,0.250,0.000,0.100,0.000,0.450,8.292748451,,1111.442602,54663.51496
89,SLW,2019-08-12 19:08,JM,HQ-7,27a,VP176,0.030660601,0.000,0.050,0.850,0.000,0.000,0.000,0.100,2.679567099,Mixed in with smartweed overstory,640.5639013,17663.32702
90,SLW,2019-08-12 19:17,JM,HQ-7,27a,VP177,0.017462719,0.150,0.000,0.000,0.100,0.200,0.000,0.000,1.52614522,,411.9006613,10059.79611
91,SLW,2019-08-12 19:17,LD,HQ-7,27a,VP178,0.029238258,0.000,0.500,0.200,0.000,0.000,0.000,0.300,2.555262089,,517.0503385,16843.72681
92,SLW,2019-08-12 19:20,JM,HQ-7,27a,VP179,0.01583242,0.000,0.200,0.100,0.000,0.150,0.000,0.550,1.383665681,Lots of cocklebur,413.9667062,9120.687481
93,SLW,2019-08-12 19:22,LD,HQ-7,27a,VP180,0.068289816,0.000,0.300,0.000,0.000,0.000,0.000,0.600,5.968152046,Non food species is knotgrass,782.7480773,39342.45895
94,SLW,2019-08-12 19:25,JM,HQ-7,27a,VP181,0.036053427,0.000,0.000,0.700,0.100,0.000,0.000,0.200,3.150870323,Recently mowed,614.6468572,20770.29133
95,SLW,2019-08-12 19:29,JM,HQ-7,27a,VP182,0.135715917,0.000,0.000,0.000,0.000,0.000,0.000,1.000,11.86081982,Upland,1225.072374,78190.88023
96,KRN,2019-08-13 22:02,GG,14,14G-2,VP183,0.040748052,0.300,0.050,0.000,0.000,0.000,0.000,0.650,4.87983799,,699.8084526,30050.50429
97,KRN,2019-08-13 22:06,GG,14,14G-2,VP184,0.053776838,0.025,0.000,0.000,0.000,0.000,0.000,0.950,6.440118313,,859.4259387,39656.52017
98,KRN,2019-08-13 22:08,GG,14,14G-2,VP185,0.032329541,0.025,0.000,0.000,0.000,0.000,0.000,0.950,3.871667862,,596.736652,23839.49959
99,KRN,2019-08-13 22:16,GG,14,14G-2,VP186,0.024217186,0.150,0.025,0.000,0.000,0.000,0.000,0.800,2.90016222,,586.4206283,17856.51843
100,KRN,2019-08-13 22:27,GG,14,14E-1,VP189,0.027413733,0.150,0.000,0.000,0.000,0.000,0.000,0.850,2.35426116,,514.0601015,14493.55992
101,KRN,2019-08-13 22:31,GG,14,14-F,VP191,0.062593296,0.200,0.050,0.000,0.000,0.000,0.000,0.750,6.416127205,,801.3350151,39499.07324
102,KRN,2019-08-13 22:47,GG,14,14C-1,VP195,0.037570897,0.300,0.050,0.000,0.000,0.000,0.000,0.650,3.48362875,,543.8059876,21443.7022
103,KRN,2019-08-13 22:49,GG,14,14C-1,VP196,0.06191875,0.100,0.025,0.000,0.000,0.000,0.000,0.850,5.741197586,,902.177424,35338.23587
104,KRN,2019-08-13 22:51,GG,14,14C-1,VP197,0.024162838,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.240413666,,444.1109167,13790.64853
105,PIX,2019-08-14 16:39,GG,9B,9B,VP198,0.186521754,0.600,0.250,0.150,0.000,0.000,0.000,0.000,6.219445705,,818.2100638,38445.70292
106,PIX,2019-08-14 16:41,GG,9B,9B,VP199,0.086604066,0.550,0.350,0.100,0.010,0.000,0.000,0.000,2.887755632,,517.59401,17851.03932
107,PIX,2019-08-14 16:43,GG,9B,9B,VP200,0.128861219,0.550,0.250,0.150,0.025,0.000,0.000,0.000,4.296792984,,652.6539404,26562.58748
108,PIX,2019-08-14 16:45,GG,9B,9B,VP201,0.083530568,0.150,0.300,0.550,0.000,0.000,0.000,0.000,2.78527236,,541.0552223,17218.45605
109,PIX,2019-08-14 16:52,GG,8A,8A,VP203,0.552637219,0.550,0.300,0.150,0.000,0.000,0.000,0.000,15.8761425,,1324.787192,98151.05245
110,PIX,2019-08-14 16:56,GG,8B,8B,VP204,0.629293263,0.250,0.600,0.100,0.000,0.000,0.000,0.050,27.6593914,,1702.082603,170983.0256
111,PIX,2019-08-14 17:06,GG,7B,7B,VP205,0.489613622,0.650,0.250,0.100,0.000,0.000,0.000,0.000,14.7839613,,1315.873902,91390.76339
112,PIX,2019-08-14 17:13,GG,6,6,VP206,0.10914883,0.050,0.100,0.100,0.000,0.000,0.000,0.750,12.47113037,,1119.994186,77091.39361
113,PIX,2019-08-14 17:18,GG,6,6,VP208,0.137935683,0.050,0.050,0.000,0.000,0.000,0.000,0.900,15.7602644,,1363.31051,97434.06232
114,PIX,2019-08-14 17:20,GG,6,6,VP209,0.074057385,0.250,0.100,0.025,0.000,0.000,0.000,0.600,8.461650848,,1009.23241,52312.60269
115,PIX,2019-08-14 17:28,GG,1,1,VP211,0.085237823,0.150,0.200,0.150,0.000,0.000,0.000,0.500,12.01383972,,1154.80289,74286.93641
116,PIX,2019-08-14 17:53,GG,2A,2A,VP212,0.110823654,0.100,0.150,0.050,0.000,0.000,0.000,0.700,6.142618179,,1006.844495,37982.59397
117,PIX,2019-08-14 17:58,GG,1,1,VP214,0.077557661,0.350,0.300,0.150,0.000,0.000,0.000,0.200,10.93135548,,1220.126828,67585.33904
118,PIX,2019-08-14 18:02,GG,2,2,VP216,0.236796483,0.300,0.400,0.200,0.000,0.050,0.050,0.000,11.74617195,,1210.365097,72623.37268
119,PIX,2019-08-14 18:06,GG,3A,3A,VP218,0.121767357,0.150,0.400,0.350,0.000,0.150,0.050,0.000,9.023389816,,936.8345224,55792.59943
120,PIX,2019-08-14 18:10,GG,2,2,VP220,0.309486657,0.450,0.350,0.150,0.050,0.050,0.000,0.000,15.35193157,,1455.719788,94922.8762
121,PIX,2019-08-14 18:16,GG,4A,4A,VP222,0.291745961,0.150,0.300,0.400,0.200,0.100,0.050,0.000,13.17222786,,1206.909878,81449.44974
122,PIX,2019-08-14 18:18,GG,3,3,VP223,0.292775303,0.550,0.350,0.100,0.050,0.000,0.000,0.000,14.15749454,,1193.943746,87535.79799
123,PIX,2019-08-14 18:21,GG,4A,4A,VP224,0.395933241,0.350,0.200,0.200,0.150,0.050,0.000,0.150,17.87624741,,1380.018994,110525.4683
124,PIX,2019-08-14 18:27,GG,4,4,VP226,0.838653743,0.550,0.200,0.150,0.050,0.100,0.000,0.050,37.42992401,,2432.185571,231432.221
125,KRN,2019-08-14 20:55,GG,4B,4B-1,VP227,0.560970426,0.200,0.350,0.150,0.000,0.000,0.000,0.300,35.84605026,,1801.847517,220559.39
126,KRN,2019-08-14 21:00,GG,4B,4B-2,VP228,0.362264484,0.250,0.050,0.000,0.000,0.000,0.000,0.700,15.81413937,,1257.856316,97303.83594
127,KRN,2019-08-14 21:02,GG,4B,4B-2,VP229,0.307396352,0.700,0.100,0.000,0.000,0.000,0.000,0.200,13.4189539,,1104.215247,82562.43263
128,KRN,2019-08-14 21:05,GG,4B,4B-4,VP230,0.290789843,0.700,0.050,0.000,0.000,0.000,0.000,0.250,6.179788589,,853.0063277,38021.76723
129,KRN,2019-08-14 21:09,GG,4B,4B-4,VP231,0.082527086,0.150,0.000,0.000,0.000,0.000,0.000,0.850,1.7538445,,410.8864742,10790.54754
130,KRN,2019-08-14 21:12,GG,4B,4B-4,VP232,0.10560403,0.050,0.000,0.000,0.000,0.000,0.000,0.950,2.244268894,,473.8666357,13808.54116
131,KRN,2019-08-14 21:18,GG,4A,4A-6,VP234,0.166678473,0.100,0.000,0.000,0.000,0.000,0.000,0.900,10.97426987,,1075.5448,67533.08763
132,KRN,2019-08-14 21:23,GG,4A,4A-7,VP235,0.215116769,0.700,0.100,0.000,0.000,0.000,0.000,0.200,9.881828308,,1026.479813,60808.97995
133,KRN,2019-08-14 21:26,GG,4A,4A-7,VP236,0.194106236,0.150,0.050,0.000,0.000,0.000,0.000,0.800,8.916666031,,1009.988081,54868.64811
134,KRN,2019-08-14 21:29,GG,4A,4A-5,VP237,0.256245434,0.150,0.200,0.600,0.000,0.000,0.000,0.050,13.89373016,,1396.466762,85494.68686
135,KRN,2019-08-14 21:31,GG,4A,4A-5,VP238,0.170915261,0.150,0.450,0.350,0.000,0.000,0.000,0.050,9.267093658,,949.8443831,57023.01504
136,KRN,2019-08-14 21:34,GG,4A,4A-5,VP239,0.091618001,0.500,0.250,0.000,0.000,0.000,0.000,0.250,4.96756506,,813.290023,30567.16377
137,KRN,2019-08-14 21:36,GG,4A,4A-2,VP240,0.201344579,0.200,0.350,0.250,0.250,0.000,0.000,0.100,8.684185028,,940.1501748,53438.78519
138,KRN,2019-08-14 21:40,GG,4A,4A-2,VP241,0.245946988,0.050,0.500,0.200,0.200,0.000,0.000,0.150,10.60793018,,1252.731527,65276.62368
139,KRN,2019-08-14 21:42,GG,4A,4A-2,VP242,0.168662712,0.100,0.400,0.350,0.150,0.000,0.000,0.100,7.27458477,,869.5840545,44766.4176
140,KRN,2019-08-14 21:45,GG,4A,4A-1,VP243,0.36552304,0.350,0.000,0.000,0.000,0.000,0.000,0.650,17.58425713,,1378.104082,108213.5031
141,KRN,2019-08-14 21:47,GG,4A,4A-1,VP244,0.294145256,0.350,0.000,0.000,0.000,0.000,0.000,0.650,14.15048313,,1194.527974,87088.74153
142,KRN,2019-08-14 21:54,GG,5A,5A-1,VP245,0.187573031,0.400,0.100,0.000,0.000,0.000,0.000,0.500,8.680081367,,1029.447076,53426.77823
143,KRN,2019-08-14 21:56,GG,5A,5A-4,VP246,0.173277512,0.250,0.100,0.000,0.000,0.000,0.000,0.650,8.101575851,,878.7281229,49863.9461
144,KRN,2019-08-14 21:58,GG,5A,5A-4,VP247,0.189362302,0.250,0.000,0.000,0.000,0.000,0.000,0.750,8.853618622,,948.0898829,54495.09577
145,KRN,2019-08-14 22:00,GG,5A,5A-1,VP248,0.40420422,0.350,0.000,0.000,0.000,0.000,0.000,0.650,18.70485115,,1295.597926,115138.044
146,KRN,2019-08-14 22:04,GG,5A,5A-4,VP249,0.201258108,0.300,0.050,0.000,0.000,0.000,0.000,0.650,9.409807205,,982.0346319,57915.17039
147,KRN,2019-08-14 22:07,GG,4A,4A-3,VP250,0.579984069,0.150,0.300,0.350,0.000,0.000,0.000,0.200,12.86744308,,1268.643188,79192.01249
148,KRN,2019-08-14 22:09,GG,5A,5A-7,VP251,0.219912201,0.550,0.100,0.000,0.000,0.000,0.000,0.350,10.66877651,,1028.788461,65663.19355
149,KRN,2019-08-14 22:11,GG,4A,4A-6,VP252,0.174572796,0.200,0.150,0.050,0.000,0.000,0.000,0.600,11.49403667,,1038.310294,70739.17461
150,KRN,2019-08-14 22:17,GG,4A,4A-6,VP253,0.255558401,0.200,0.350,0.250,0.000,0.000,0.000,0.200,16.82620621,,1270.084266,103553.7473
151,KRN,2019-08-14 22:20,GG,5A,5A-7,VP254,0.27468279,0.500,0.150,0.000,0.000,0.000,0.000,0.350,13.32591343,,1216.388739,82021.69237
152,KRN,2019-08-14 22:22,GG,5A,5A-5,VP255,0.354485065,0.150,0.050,0.000,0.000,0.000,0.000,0.800,11.70796204,,1062.20749,72067.7448
153,CLS,2019-08-20 16:23,TB,T17,T17,VP256,0.043984,0.150,0.450,0.300,0.000,0.000,0.000,0.000,3.7886374,,652.798975,25526.93707
154,CLS,2019-08-20 16:23,JM,T17,T17,VP257,0.087886266,0.200,0.350,0.400,0.000,0.000,0.000,0.050,7.570234299,,1355.282911,51007.9874
155,CLS,2019-08-20 17:03,JM,T17,T17,VP258,0.052462764,0.100,0.200,0.600,0.000,0.000,0.000,0.100,4.518969536,,870.3767979,30446.88852
156,CLS,2019-08-20 17:09,Tb,T17,T17,VP259,0.125734538,0.100,0.450,0.350,0.000,0.000,0.000,0.000,10.8303566,,1200.180429,72979.26831
157,CLS,2019-08-20 17:20,JM,T17,T17,VP260,0.043830603,0.000,0.000,0.100,0.000,0.000,0.000,0.900,3.775424004,,765.443915,25440.59786
158,CLS,2019-08-20 17:22,JM,T17,T17,VP261,0.09594731,0.150,0.150,0.600,0.000,0.000,0.000,0.100,8.264586449,,1011.17171,55684.51614
159,CLS,2019-08-20 17:33,TB,T15,T15:1,VP262,0.148550481,0.000,0.400,0.600,0.000,0.000,0.000,0.000,5.214948654,,810.7060323,35135.82401
